iter	Logloss
113	0.1910264412
114	0.1894472428
115	0.1878881111
116	0.1863195599
117	0.1851468921
118	0.1832772261
119	0.1819618576
120	0.1802593798
121	0.1784802692
122	0.1775457445
123	0.1759349426
124	0.1743393753
125	0.172518956
126	0.1710353376
127	0.1694412947
128	0.1679620363
129	0.166521671
130	0.1648321512
131	0.1634212729
132	0.162631119
133	0.1610856684
134	0.1604345086
135	0.1595386212
136	0.1585874455
137	0.1577303692
138	0.1567477767
139	0.1553790356
140	0.1541740569
141	0.1529920712
142	0.1515733822
143	0.1501147453
144	0.1491292317
145	0.148186379
146	0.1473059931
147	0.1465245129
148	0.1454680193
149	0.1444757113
150	0.1438383005
151	0.1427554576
152	0.1415321744
153	0.14035482
154	0.1390567246
155	0.1379590344
156	0.1367410875
157	0.1356999181
158	0.135004254
159	0.1341782835
160	0.1332118552
161	0.1322374875
162	0.1312219174
163	0.1305649937
164	0.1294991642
165	0.1286886476
166	0.1277766167
167	0.1266172557
168	0.1255555097
169	0.1249508634
170	0.1241395674
171	0.1232512998
172	0.1225717081
173	0.1217064051
174	0.1207150713
175	0.119901298
176	0.1191917027
177	0.1182872871
178	0.1174372429
179	0.1169341627
180	0.1162722499
181	0.1153029096
182	0.1143993196
183	0.1134707778
184	0.1126767822
185	0.1119323665
186	0.111194636
187	0.1104522146
188	0.1098554959
189	0.1092328676
190	0.1084491604
191	0.1079231256
192	0.1071958121
193	0.1062714706
194	0.1053329944
195	0.1048641703
196	0.1042305095
197	0.1038199801
198	0.1031167157
199	0.1025374403
200	0.1018943853
201	0.1014829599
202	0.1006770187
203	0.1000352705
204	0.09937007881
205	0.0987502157
206	0.09801991699
207	0.09740079439
208	0.09683795904
209	0.09626406705
210	0.09553878992
211	0.09494781369
212	0.09426212672
213	0.0936509018
214	0.09330929124
215	0.09252128342
216	0.09198124141
217	0.09145787906
218	0.09074439383
219	0.09023820292
220	0.089669648
221	0.08891660178
222	0.08827028739
223	0.08769424924
224	0.08714431274
225	0.08652465875
226	0.08598602721
227	0.08535095816
228	0.08469330851
229	0.0840869228
230	0.08346747262
231	0.08297694149
232	0.08234173897
233	0.08169871902
234	0.08105570507
235	0.08056742223
236	0.08001938614
237	0.07950361166
238	0.07904332971
239	0.07858387437
240	0.07797498202
241	0.07750349491
242	0.07702613757
243	0.07651807962
244	0.07599880554
245	0.07560504536
246	0.07508221511
247	0.0745405932
248	0.07411053497
249	0.07361210524
250	0.07310246164
251	0.07266470894
252	0.07212183417
253	0.071641267
254	0.07121259351
255	0.07075343235
256	0.07034669933
257	0.06986036428
258	0.06939383888
259	0.06900483019
260	0.06863298212
261	0.06819215757
262	0.06772553099
263	0.06731541517
264	0.06690573888
265	0.06652880454
266	0.06607722112
267	0.0656311246
268	0.06523962882
269	0.0647442312
270	0.06433732103
271	0.0640169312
272	0.06364346266
273	0.06320561529
274	0.06282899717
275	0.062445232
276	0.0620577269
277	0.0616795664
278	0.0612883851
279	0.06099809568
280	0.060665071
281	0.06029157461
282	0.05993328696
283	0.05951759616
284	0.05912639634
285	0.05879132126
286	0.05841060807
287	0.05808434308
288	0.05773983144
289	0.05741092143
290	0.05709168279
291	0.05675344192
292	0.05643248804
293	0.05613658181
294	0.0557904446
295	0.05550988192
296	0.05518840902
297	0.05484877681
298	0.05456991129
299	0.05428052368
300	0.05398797737
301	0.05373842051
302	0.05346005223
303	0.05321506591
304	0.05289868733
305	0.05257239362
306	0.05224944391
307	0.05197123972
308	0.05166785619
309	0.05140687618
310	0.0511459859
311	0.05092901503
312	0.05070659376
313	0.05044995358
314	0.05014930231
315	0.04986180603
316	0.04961849644
317	0.04935816176
318	0.04911018393
319	0.04883762758
320	0.04857868761
321	0.04838480626
322	0.04810504507
323	0.04790567471
324	0.04765012825
325	0.04742081462
326	0.04717955031
327	0.04693947094
328	0.04668969208
329	0.04642217549
330	0.04620144497
331	0.04593878924
332	0.04574371083
333	0.04551149458
334	0.04527817232
335	0.04505972977
336	0.04483280903
337	0.04463275407
338	0.04441277049
339	0.04415331109
340	0.0439388725
341	0.04374847665
342	0.0435643185
343	0.04334158096
344	0.04315031104
345	0.04292813392
346	0.04271317214
347	0.04249455959
348	0.04229051222
349	0.04207821473
350	0.04187525266
351	0.04169608258
352	0.0414973942
353	0.04132232412
354	0.04116885874
355	0.04099067341
356	0.04076004275
357	0.04055755019
358	0.04036190992
359	0.04016967101
360	0.03994778895
361	0.03975381191
362	0.03955556883
363	0.0393802035
364	0.03922895533
365	0.03908336826
366	0.03890503675
367	0.03874469356
368	0.03858072307
369	0.03838267085
370	0.03822114245
371	0.03803333416
372	0.03786160364
373	0.03771397825
374	0.03756448303
375	0.03741985919
376	0.03722739465
377	0.03707151147
378	0.03690503648
379	0.03674429183
380	0.03657556868
381	0.03640591225
382	0.03625013288
383	0.03608156953
384	0.03592028167
385	0.03577398801
386	0.035637719
387	0.03548940539
388	0.03533531289
389	0.03520104317
390	0.03507571975
391	0.03494015537
392	0.03480215423
393	0.03466028045
394	0.0345033133
395	0.03439197499
396	0.03425172979
397	0.03411696156
398	0.03400339011
399	0.03383998382
400	0.03371886366
401	0.03357373474
402	0.03341187841
403	0.03325635049
404	0.033126065
405	0.03298832914
406	0.03287046114
407	0.03273269072
408	0.03258941082
409	0.03243581832
410	0.03232763524
411	0.03220596526
412	0.03210226797
413	0.03197726704
414	0.03186133889
415	0.03173278239
416	0.03160943643
417	0.03148293592
418	0.03135753847
419	0.03122792789
420	0.03111316312
421	0.03099119587
422	0.03088342804
423	0.03076195292
424	0.03064889834
425	0.03053923361
426	0.03042949425
427	0.03032211334
428	0.03020280744
429	0.03009026019
430	0.02996976998
431	0.02987550997
432	0.02973692296
433	0.029628962
434	0.02952438398
435	0.02942240615
436	0.02929447358
437	0.02918506711
438	0.02905554944
439	0.02894541713
440	0.02884515772
441	0.02875556269
442	0.02863901448
443	0.02853836059
444	0.02842500334
445	0.02832823341
446	0.02822529661
447	0.02813639503
448	0.02804839214
449	0.0279352796
450	0.02784182159
451	0.02773776314
452	0.02763349045
453	0.02753010078
454	0.02743923488
455	0.02734463706
456	0.02725048428
457	0.0271555031
458	0.02706257125
459	0.02696046116
460	0.02686758222
461	0.02678615334
462	0.02667639664
463	0.02658422329
464	0.02648543306
465	0.02638692843
466	0.02630821744
467	0.02621531124
468	0.02612956726
469	0.02603533168
470	0.02595784839
471	0.02586065878
472	0.02578327251
473	0.02570003383
474	0.02561164671
475	0.02552863011
476	0.02544017093
477	0.02534404499
478	0.02526174091
479	0.02516639879
480	0.02508172957
481	0.02499275664
482	0.02492010496
483	0.02483372219
484	0.02474933651
485	0.02467125245
486	0.02458876218
487	0.02451071941
488	0.02443797221
489	0.02436185989
490	0.02428997589
491	0.02422327462
492	0.024122488
493	0.02404375264
494	0.02396668672
495	0.02389233992
496	0.02381159409
497	0.02374482394
498	0.02368288741
499	0.02361272177
