iter	Logloss
0	0.6852522052
1	0.6728426589
2	0.6613230619
3	0.6519950864
4	0.6418911775
5	0.6317244556
6	0.6224773401
7	0.6137128495
8	0.6079495972
9	0.5973832945
10	0.5899464805
11	0.5829143414
12	0.5728421274
13	0.5636512329
14	0.5548338747
15	0.5458997002
16	0.5388282675
17	0.5303014065
18	0.5212791709
19	0.5118434635
20	0.5060633304
21	0.5018096031
22	0.4930335913
23	0.4859101075
24	0.4783276533
25	0.4705163354
26	0.4634190094
27	0.4564211906
28	0.4511473008
29	0.4469330489
30	0.4408306687
31	0.4371015149
32	0.4316059304
33	0.4256904076
34	0.4215962413
35	0.4175560419
36	0.4122611205
37	0.4059721182
38	0.4010444608
39	0.3952549628
40	0.3916143901
41	0.3885121006
42	0.3838362106
43	0.3787011504
44	0.3731781193
45	0.3697847249
46	0.3647083219
47	0.3594271636
48	0.3566140094
49	0.3540217763
50	0.3489699992
51	0.3447619955
52	0.3417995205
53	0.3370060008
54	0.3341895824
55	0.3297706851
56	0.3270264522
57	0.3236199707
58	0.3200368822
59	0.3168508771
60	0.313013825
61	0.3100128427
62	0.3071646674
63	0.3031905159
64	0.2998064424
65	0.297998656
66	0.2937753075
67	0.2906199512
68	0.2883147489
69	0.2848627978
70	0.2813617525
71	0.2786570873
72	0.2746237292
73	0.2717082338
74	0.2698406037
75	0.2661764141
76	0.2631785681
77	0.2607373694
78	0.2570650604
79	0.255226731
80	0.2524155584
81	0.2503294401
82	0.2484914708
83	0.2466068853
84	0.2437983357
85	0.2410357031
86	0.2393030628
87	0.2377927134
88	0.2354865434
89	0.2335885868
90	0.2312070834
91	0.229512656
92	0.2275661632
93	0.2259961501
94	0.2245384157
95	0.2223904815
96	0.2205306658
97	0.2187375702
98	0.2168365613
99	0.2161016425
100	0.2141873584
101	0.2130667693
102	0.2106216244
103	0.2085657041
104	0.2077426714
105	0.2056490261
106	0.2036405254
107	0.2013621148
108	0.199513308
109	0.1978265408
110	0.1961862597
111	0.193983022
112	0.1924352479
