Fighter Name
Robert Bryczek
Lukasz Brzeski
Justin Buchholz
Joaquin Buckley
Martin Buday
Dylan Budka
Paul Buentello
Modestas Bukauskas
Felipe Bunes
Wuliji Buren
Shane Burgos
Joshua Burkman
Justin Burlinson
Nate Burnard
Mads Burnell
Mikey Burnett
Gilbert Burns
Herbert Burns
Kevin Burns
Nah-Shon Burrell
Martin Buschkamp
Bubba Bush
Dakota Bush
Murilo Bustamante
Jesse Butler
Todd Butler
JP Buys
Dennis Buzukja
Charles Byrd
Steve Byrnes
Yan Cabral
Alex Caceres
Vince Cachero
Priscila Cachoeira
Ricky Calatayud
Nicolle Caliari
Taylor Callens
Cynthia Calvillo
Frank Camacho
Fabricio Camoes
Brian Camozzi
Chris Camozzi
Ricky Camp
Shane Campbell
Charlie Campbell
John Campetella
Wagner Campos
Will Campuzano
Aleksa Camur
Chico Camus
Asbel Cancio
Carlos Candelario
Ronaldo Candido
Luiz Cane
Guido Cannetti
Jared Cannonier
Steve Cantwell
Paul Capaldo
Phil Caracappa
Frank Caracci
Gina Carano
Bryan Caraway
Chris Cariaso
Rafael Carino
Antonio Carlos Junior
Spike Carlyle
Francis Carmont
Liz Carmouche
Roan Carneiro
Ariane Carnelossi
Luana Carolina
Tim Caron
Clayton Carpenter
Cain Carrizosa
Shonie Carter
Jack Cartwright
Antonio Carvalho
Shane Carwin
Johnny Case
Cortney Casey
Kevin Casey
Duane Cason
John Castaneda
Gil Castillo
Danny Castillo
Nick Catone
Luke Caudillo
Rafael Cavalcante
Jacqueline Cavalcanti
Magnus Cedenblad
Yosdenis Cedeno
Henry Cejudo
Adam Cella
Vinicius Cenci
Katlyn Cerminara
Rafael Cerqueira
Alberta Cerra
Donald Cerrone
Luan Chagas
Edgar Chairez
Ansar Chalangov
Alex Chambers
Chelsea Chandler
Michael Chandler
Donnie Chappell
Joe Charles
Morgan Charriere
Ernest Chavez
Danny Chavez
Gabriel Checco
Albert Cheng
Fabio Cherant
Mark Cherico
Macy Chiasson
Michael Chiesa
Giga Chikadze
Khamzat Chimaev
Sako Chivitchian
Dooho Choi
Seungwoo Choi
DongHun Choi
SeungGuk Choi
John Cholish
Ryo Chonan
Will Chope
Joachim Christensen
Kevin Christian
Dan Christison
Anthony Christodoulou
Yui Chul Nam
Cameron Church
Mike Ciesnolevicz
Hannah Cifers
Misha Cirkunov
Devin Clark
Heather Jo Clark
Jessica-Rose Clark
Logan Clark
Laverne Clark
Mitch Clarke
Rich Clementi
Chris Clements
Mark Climaco
Josh Clopton
Brian Cobb
John Cofer
Felipe Colares
Chandler Cole
Coltin Cole
Mark Coleman
Clay Collard
Jamie Colleen
Jake Collier
Christian Colombo
Wes Combs
Carlos Condit
Chris Condo
Wang Cong
Tristan Connelly
Marcos Conrado Junior
Bob Cook
Amanda Cooper
Chris Cope
Kit Cope
Josh Copeland
Michael Cora
Akira Corassani
Cory Corbin
Daniel Cormier
Nora Cornolle
Jonathan Correa
Bethe Correia
Wesley Correira
Waldo Cortes Acosta
Tracy Cortez
Reyes Cortez
Orion Cosce
Louis Cosce
Paulo Costa
Randy Costa
Davi Costa
Alessandro Costa
Melquizael Costa
Oscar Cota
Patrick Cote
J.C. Cottrell
JR Coughran
Rashad Coulter
Ryan Couture
Randy Couture
Colby Covington
Hailey Cowan
Jeff Cox
Nathan Coy
Paul Craig
Andrew Craig
Dan Cramer
Alberto Crane
Tim Credeur
Paul Creighton
Mirko Cro Cop
Edilberto Crocota
Kevin Croom
Kiefer Crosbie
Kenneth Cross
Allen Crowder
Daron Cruickshank
Richard Crunkilton Jr.
Jimmy Crute
Aalon Cruz
Marcio Cruz
Dominick Cruz
Timmy Cuamba
Jay Cucciniello
Emilio Cuellar
Josh Culibao
Zak Cummings
Patrick Cummins
Luke Cummo
Hugo Cunha
Alton Cunningham
AJ Cunningham
Santo Curatolo
Larry Cureton
Kailin Curran
Jeff Curran
Chris Curtis
Ion Cutelaba
Gleidson Cutis
Cris Cyborg
Henrique da Silva
Diego Henrique da Silva
Ariane da Silva
Alex da Silva
Henrique Da Silva Lopes
Dayana da Silva Santos
Marcus Da Silviera
Nicolas Dalby
Paul Daley
Aisling Daly
Leonardo Damiani
Rodrigo Damm
Batgerel Danaa
Cindy Dandois
Peter Danesoe
Jarjis Danho
Jose Daniel Medina
Alexandre Dantas
Mac Danzig
Beneil Dariush
Sean Daughtery
Chris Daukaus
Kyle Daukaus
Alexis Davis
Mike Davis
Brandon Davis
Rick Davis
Marcus Davis
Phil Davis
Hakeem Dawodu
Grant Dawson
Martin Day
Jason Day
Angel De Anda
Yorgan De Castro
Rafael de Freitas
Geraldo de Freitas Jr.
Phil De Fries
Chris De La Rocha
Mark De La Rosa
Montana De La Rosa
Mike De La Torre
Marcos Rogerio de Lima
Rodrigo de Lima
Jorge de Oliveira
Leonardo De Oliveira
Isabela De Padua
Gloria de Paula
Germaine de Randamie
Reinier de Ridder
Carls John De Tomas
Carl Deaton
Tom DeBlass
Shane Del Rosario
Wallen Del Rosario
Yadier del Valle
Jose Miguel Delgado
Rolando Delgado
Ante Delija
Jack Della Maddalena
Roland Delorme
Jason DeLucia
Vanessa Demopoulos
Chris Dempsey
Nick Denis
Jason Dent
Mackenzie Dern
Tony DeSouza
Robelis Despaigne
Edwin Dewees
Alessio Di Chirico
Micol Di Segni
Cyrille Diabate
Marc Diakiese
Tyler Diamond
Blood Diamond
Hacran Dias
Victor Dias
Eldo Xavier Dias
Adrian Diaz
Nate Diaz
Nick Diaz
Ozzy Diaz
TJ Dillashaw
Jhonata Diniz
Rico DiSciullo
Matt Dixon
Russell Doane
Drew Dober
Shana Dobson
AJ Dobson
David Dodd
John Dodson
Joe Doerksen
Roman Dolidze
Cameron Dollar
CB Dollaway
Montserrat Rendon
Cody Donovan
Houston Dorr
Rafael Dos Anjos
Elizeu Zaleski dos Santos
Geronimo dos Santos
Antonio dos Santos
Anderson dos Santos
Felipe dos Santos
Acacio dos Santos
Rayanne dos Santos
Maiara Amajanas Dos Santos
Oleksandr Doskalchuk
Cedric Doumbe
John Dowdy
Dan Downes
Derek Downey
Kyle Driscoll
Tomasz Drwal
Robert Drysdale
Dricus Du Plessis
Hugo Duarte
Yuneisy Duben
Emily Ducote
Viktoriia Dudakova
Milana Dudieva
Todd Duffee
Joe Duffy
Alexis Dufresne
Jessamyn Duke
Islam Dulatov
Isaac Dulgarian
Kelly Dullanty
Sedriques Dumas
Norma Dumont
Christian Leroy Duncan
Chris Duncan
Evan Dunham
Tom Duquesnoy
Albert Duraev
Reuben Duran
Cody Durden
Luiz Dutra
Riley Dutro
Merab Dvalishvili
David Dvorak
Matt Dwyer
Rolando Dy
Ben Earwood
Cody East
Marvin Eastman
Mike Easton
Brian Ebersole
Roybert Echeverria
Mark Eddiva
Frankie Edgar
Abdul-Kerim Edilov
Johnny Eduardo
Te Edwards
Justin Edwards
Leon Edwards
Yves Edwards
Adli Edwards
Joselyne Edwards
Tom Egan
Stephanie Egger
Justin Eilers
John-Olav Einemo
Per Eklund
Evan Elder
Billy Elekana
Joao Elias
Darren Elkins
Joe Ellenberger
Jake Ellenberger
Tim Elliott
Oban Elliott
Lisa Ellis
Brian Ellis
Anna Elmose
Cameron Else
Sovannahry Em
Ramazan Emeev
Rob Emerson
Freddy Emiliano Linares
Jamall Emmers
Josh Emmett
Kolton Englund
Oliver Enkamp
Alex Enlund
Ian Entwistle
Andy Enz
Steve Erceg
Konstantin Erokhin
Julian Erosa
Jarno Errens
Ivan Erslan
Cole Escovedo
Efrain Escudero
Carla Esparza
Juan Espino
Jordan Espinosa
Jodie Esquibel
Rafael Estevam
Achilles Estremadura
Shaun Etchell
Terry Etim
Fred Ettish
Sijara Eubanks
Doug Evans
Rashad Evans
Ashlee Evans-Smith
Dan Evensen
Tonya Evinger
Movsar Evloev
Andre Ewell
Jessica Eye
Edward Faaloloto
Urijah Faber
Melinda Fábián
Wagnney Fabiano
Bartosz Fabinski
Ron Faircloth
Zarah Fairn
Jason Fairn
Rinat Fakhretdinov
Maiquel Falcao
Pedro Falcao
Brodie Farber
Kalindra Faria
Jair Farias
Rico Farrington
Kelly Faszholz
Paul Felder
Carlos Felipe
Josh Ferguson
Tony Ferguson
Kauê Fernandes
CJ Fernandes
Gabriella Fernandes
Lucas Fernando
Cezar Ferreira
Diego Ferreira
Alexandre Ferreira
Brunno Ferreira
Erisson Ferreira
Scott Ferrozzo
Timo Feucht
Andre Fialho
Drew Fickett
Scott Fielder
Test Fighter2
Michal Figlak
Deiveson Figueiredo
Francisco Figueiredo
Edwin Figueroa
Jafel Filho
Andre Fili
Torrez Finney
Luigi Fioravanti
Nick Fiore
Manon Fiorot
Spencer Fisher
Chris Fishgold
Jon Fitch
Isi Fitikefu
Rafael Fiziev
Colin Fletcher
Nathan Fletcher
AJ Fletcher
Jimmy Flick
Luke Flores
Ty Flores
Alejandro Flores
Kenny Florian
Darrius Flowers
Caros Fodor
Rob Font
Jesse Forbes
Jussier Formiga
Brianna Fortino
Marcel Fortuna
Brian Foster
Xavier Foupa-Pokam
Glaico Franca
Hermes Franca
Kai Kara-France
Rich Franklin
Stephanie Frausto
Justin Frazier
Zane Frazier
Ian Freeman
Willamy Freire
Donavon Frelow
Josh Fremd
Matt Frevola
Jinh Yu Frey
Artem Frolov
Sarah Frota
Daniel Frunza
Don Frye
Anthony Fryklund
Adam Fugitt
Katsuhisa Fuji
Riki Fukuda
Masio Fullen
Travis Fulton
Sam Fulton
Ricardo Funch
Gustavo Gabriel
Claudia Gadelha
Magomed Gadzhiyasulov
Justin Gaethje
Sheila Gaff
Muin Gafurov
Mitch Gagnon
Dave Galera
Mickey Gall
Daniel Gallemore
Tom Gallicchio
Joey Gambino
Manny Gamburyan
Mateusz Gamrot
Shamil Gamzatov
Ariel Gandulla
Ciryl Gane
Sean Gannon
Junye Gao
Luiz Garagorri
Cody Garbrandt
Elias Garcia
Leonard Garcia
Harrison Garcia
Edgar Garcia
Alex Garcia
Fernie Garcia
Rafa Garcia
Steve Garcia
Pablo Garza
Azamat Gashimov
Brian Gassaway
Kelvin Gastelum
Willie Gates
Melissa Gatto
Louis Gaudinot
Ateba Gautier
Manuel Gaxhja
Shamil Gaziev
Paul Georgieff
Brian Geraghty
Karine Gevorgyan
Yanis Ghemmouri
Darrel Gholar
Tiki Ghosn
Christos Giagos
Joe Giannetti
James Giboo
Cody Gibson
Chase Gibson
Thomas Gifford
Joe Gigliotti
Joey Gilbert
Trevin Giles
Gregor Gillespie
Jason Gilliam
Micheal Gillmore
Alex Gilpin
Bob Gilstrap
Eperaim Ginting
He-Man Gipson
Ricky Glenn
Mark Godbeer
Loopy Godinez
Allan Goes
Billy Ray Goff
Amiran Gogoladze
Hannah Goldy
Marcelo Golm
Denise Gomes
Joey Gomez
Luis Gomez
Ulysses Gomez
Edson Gomez
Takanori Gomi
William Gomis
Akihiro Gono
Gabriel Gonzaga
Justin Gonzales
Jason Gonzalez
Pearl Gonzalez
Lewis Gonzalez
Mikey Gonzalez
Jorge Gonzalez
Jennifer Gonzalez
Erick Gonzalez
Lyman Good
Jared Gooden
Gary Goodridge
Gerard Gordeau
Jared Gordon
Eddie Gordon
Tebaris Gordon
Malcolm Gordon
Tresean Gore
Alex Gorgees
Themba Gorimbo
Tim Gorman
Chase Gormley
Jonathan Goulet
Thibault Gouti
Wilson Gouveia
Damian Grabowski
Roger Gracie
Kron Gracie
Renzo Gracie
Rolles Gracie
Royce Gracie
Bogdan Grad
Miranda Granger
Davey Grant
Dwight Grant
TJ Grant
Alexa Grasso
Tony Gravely
Michael Graves
Shelton Graves
Kevin Gray
James Gray
Desmond Green
King Green
Gabe Green
Maurice Greene
Logan Greenhalgh
Matt Grice
Max Griffin
Jordan Griffin
Tyson Griffin
Forrest Griffin
Chad Griggs
Charalampos Grigoriou
Garrett Grimes
Max Grishin
Josh Grispi
Garrett Gross
Kendall Grove
Neil Grove
Chris Gruetzemacher
Vik Grujic
Mike Grundy
Wang Guan
Ning Guangyou
Nandor Guelmino
Rainn Guerrero
Shannon Gugerty
Clay Guida
Melvin Guillard
Marcelo Guimaraes
Brad Gumm
John Gunderson
John Gunther
Jorge Gurgel
Fabio Gurgel
Luis Gurule
Bogdan Guskov
Gugun Gusman
Andre Gusmao
Alexander Gustafsson
Andreas Gustafsson
Horacio Gutierrez
Chris Gutierrez
Mando Gutierrez
Mike Guymon
Chelsea Hackett
Keith Hackney
Cody Haddon
Jake Hadley
Damir Hadžović
Bassil Hafez
Tim Hague
Yazan Hajeh
Ryan Hall
Uriah Hall
Mark Hall
Dennis Hallman
Piotr Hallmann
Tony Halme
John Halverson
Seohee Ham
Frank Hamaker
Rami Hamed
Matt Hamill
CJ Hamilton
Anthony Hamilton
Jared Hamman
James Hammortree
Chad Hanekom
Kay Hansen
Nasrat Haqparast
Shin Haraguchi
Janay Harding
Antoni Hardonk
George Hardwick
Greg Hardy
Dan Hardy
Josiah Harrell
Phil Harris
Walt Harris
Gerald Harris
Gerry Harris
Carlston Harris
Kayla Harrison
Collin Hart
Dale Hartt
Clay Harvison
Chris Haseman
Hayder Hassan
Ahmad Hassanzada
John Hathaway
Phil Hawes
Tommy Hayden
Josh Haynes
Dustin Hazelett
James Head
Pat Healy
David Heath
Chris Heatherly
Jake Hecht
Nick Hein
Ian Heinisch
Marcin Held
Delson Heleno
Benson Henderson
Dan Henderson
Cory Hendricks
Josh Hendricks
Johny Hendricks
Luis Henrique
José Henrique
Danny Henry
Victor Henry
Jai Herbert
Dave Herman
Ed Herman
Jack Hermansson
Junior Hernandez
Alexander Hernandez
Nohelin Hernandez
Noe Hernandez
Carlos Hernandez
Anthony Hernandez
Alvaro Herrera
Geane Herrera
Paul Herrera
Felice Herrig
Heath Herring
Jon Hess
Clint Hester
Jimy Hettes
Jay Hieron
Brady Hiestand
Jason High
Richie Hightower
Angela Hill
Tyler Hill
Jamahal Hill
Corey Hill
Kailan Hill
Branden Lee Hinkle
Hatsu Hioki
Kuniyoshi Hironaka
Mizuto Hirota
Matt Hobar
Bobby Hoffman
Chris Hofmann
Sam Hoger
Andrew Holbrook
Chris Holdsworth
Kevin Holland
Frank Holland
Roger Hollett
Max Holloway
Holly Holm
Rex Holman
Joseph Holmes
Kurt Holobaugh
Paddy Holohan
Mark Holst
Scott Holtzman
Sabah Homasi
Mark Hominick
Barb Honchak
SeongChan Hong
JunYoung Hong
Satoshi Honma
David Hood
Lorenzo Hood
Dan Hooker
Chase Hooper
Darrell Horcher
Moti Horenstein
Yoshinori Horie
Kyoji Horiguchi
Yuma Horiuchi
Jeremy Horn
Jamey-Lyn Horth
Matt Horwich
Saeed Hosseini
Jeff Hougland
Brian Houston
John Howard
Harold Howard
Shane Howell
Carlos Huachin
Brady Huang
Austin Hubbard
Collin Huckbody
Roger Huerta
Jeff Hughes
Mark Hughes
Matt Hughes
Sam Hughes
Victor Hugo
Harry Hunsucker
Mark Hunt
Adam Hunter
Alex Hunter
Solomon Hutcherson
Al Iaquinta
Khadis Ibragimov
Minoki Ichihara
Dan Ige
Valeri Ignatov
Fabiano Iha
Nassourdine Imavov
Brad Imes
Chris Indich
Guto Inocente
Naoki Inoue
Mizuki
Enson Inoue
James Irvin
Issa Isakov
Teruto Ishihara
Damir Ismagulov
Wallid Ismail
Leandro Issa
Alvaro Ivan Lopez Rodrigues
Blagoy Ivanov
Anthony Ivy
Yoislandy Izquierdo
Yves Jabouin
Mike Jackson
Jason Jackson
Damon Jackson
Montel Jackson
Jordan Jackson
Rampage Jackson
Jeremy Jackson
Kevin Jackson
Eugene Jackson
Brian Jackson
Richard Jacobi
Dustin Jacoby
Justin James
Virna Jandiroba
Ryan Janes
Brock Jardine
Keith Jardine
Rony Jason
Jasmine Jasudavicius
Yazmin Jauregui
Justin Jaynes
Joanna Jędrzejczyk
Aaron Jeffery
Trent Jenkins
Jack Jenkins
Brandon Jenkins
Steve Jennum
Kyle Jensen
Ryan Jensen
Chanmi Jeon
Ronald Jhun
Niushiyue Ji
Wuziazibieke Jiahefu
Baergeng Jieleyisi
Art Jimmerson
Ryan Jimmo
Asikeerbai Jinensibieke
Asikerbai Jinensibieke
Li Jingliang
Sung Bin Jo
Brett Johns
Miles Johns
Phil Johns
Jordan Johnson
Kajan Johnson
Timothy Johnson
Dashon Johnson
Michael Johnson
Demetrious Johnson
Lavar Johnson
Anthony Johnson
DaMarques Johnson
Jose Johnson
Chad Johnson
Taylor Johnson
Tony Johnson
Charles Johnson
Brian Johnston
Liana Jojua
Daniel Jolly
Jamelle Jones
Antonio Jones
Marcus Jones
Justin Jones
Jon Jones
Paul Jones
Trevin Jones
Mason Jones
Jocelyn Jones-Lybarger
Shawn Jordan
Kevin Jordan
Ivan Jorge
Scott Jorgensen
Dwight Joseph
Jeff Joslin
Krzysztof Jotko
Alan Jouban
Charles Jourdain
Kevin Jousset
Dustin Joynson
Silvana Gomez Juarez
Anshul Jubli
Carli Judice
Steve Judson
Luke Jumeau
Da Woon Jung
Chan Sung Jung
Scott Junk
Myles Jury
Geza Kahlman Jr
Oron Kahlon
Lu Kai
Sim Kai Xiong
Li Kaiwen
Sirwan Kakai
Saidyokub Kakhramonov
Kai Kamaka
Shuya Kamikubo
Martin Kampmann
Koya Kanda
Bharat Kandare
Masanori Kanehara
Kyung Ho Kang
Denis Kang
Manel Kape
Dave Kaplan
Alex Karalexis
Ernesta Kareckaitė
Impa Kasanganay
Jinnosuke Kashimura
Kerry Kasik
Nadia Kassem
Yusuke Kasuya
Brad Katona
Calvin Kattar
Sarah Kaufman
Lone’er Kavanagh
Canaan Kawaihae
Tatsuya Kawajiri
Toshiomi Kazama
Julie Kedzie
C.J. Keith
Chris Kelades
Brian Kelleher
Mayana Kellem
Tony Kelley
Daniel Kelly
Paul Kelly
Song Kenan
Jeremy Kennedy
Steven Kennedy
Tim Kennedy
Casey Kenney
Maimaitituoheti Keremuaili
Mark Kerr
Rustam Khabilov
Adam Khaliev
Sergey Khandozhko
