,level_0,index,RedFighter,BlueFighter,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,TotalFightTimeSecs,index_Red,strike_accuracy_Red,takedown_accuracy_Red,connected_strikes_per_minute_Red,absorved_strikes_per_minute_Red,strikes_defense_Red,takedown_defense_Red,takedown_avg_Red,submission_avg_Red,knockdown_avg_Red,avg_fight_time_Red,weight_Red,height_Red,reach_Red,age_Red,Wins_Red,Losses_Red,win_by_ko_tko_win_Red,win_by_ko_tko_win_percent_Red,win_by_dec_win_Red,win_by_dec_win_percent_Red,win_by_sub_win_Red,win_by_sub_win_percent_Red,index_Blue,strike_accuracy_Blue,takedown_accuracy_Blue,connected_strikes_per_minute_Blue,absorved_strikes_per_minute_Blue,strikes_defense_Blue,takedown_defense_Blue,takedown_avg_Blue,submission_avg_Blue,knockdown_avg_Blue,avg_fight_time_Blue,weight_Blue,height_Blue,reach_Blue,age_Blue,Wins_Blue,Losses_Blue,win_by_ko_tko_win_Blue,win_by_ko_tko_win_percent_Blue,win_by_dec_win_Blue,win_by_dec_win_percent_Blue,win_by_sub_win_Blue,win_by_sub_win_percent_Blue
184,184,455,brad tavares,gregory rodrigues,Blue,False,Middleweight,1,3,0,1,0,5.52,0.56,0.4,2.74,0.41,2,3,14,0,0,0,1,4,0,0,5,1.0,190.5,190.5,185,0,1,0,3.38,0.43,0.0,0.78,0.26,5,8,62,0,0,3,10,2,0,0,15,1.0,185.42,187.96,185,36,31,KO/TKO,655.0,860.0,0.43,0.27,3.43,3.31,0.55,0.81,0.74,0.0,0.19,12.9,185.0,73.0,74.0,37.0,20.0,-11.0,5.0,0.26,12.0,0.63,2.0,0.11,739.0,0.53,0.38,5.6,4.95,0.51,0.89,2.31,0.31,0.92,8.87,185.0,75.0,75.0,32.0,16.0,-6.0,10.0,0.63,3.0,0.19,3.0,0.19
185,185,456,michael johnson,darrius flowers,Red,False,Lightweight,1,3,1,0,0,3.07,0.49,0.0,0.98,0.28,1,1,3,0,0,0,0,0,1,0,1,1.0,175.26,180.34,155,1,0,0,4.27,0.39,0.0,0.62,0.41,4,15,71,1,0,1,7,5,0,0,13,0.0,177.8,185.42,155,37,29,U-DEC,900.0,408.0,0.4,0.4,4.23,3.8,0.58,0.81,0.61,0.04,0.52,11.5,156.0,70.0,73.5,38.0,24.0,-19.0,10.0,0.42,12.0,0.5,2.0,0.08,293.0,0.5,0.29,3.07,5.49,0.44,0.64,0.98,0.0,0.0,7.65,170.0,69.0,71.0,29.0,12.0,-8.0,9.0,0.75,3.0,0.25,0.0,0.0
186,186,457,rodolfo vieira,armen petrosyan,Red,False,Middleweight,1,3,0,2,0,5.69,0.52,0.0,0.22,0.33,2,1,13,0,0,1,2,1,0,0,4,1.0,190.5,180.34,185,0,1,0,3.19,0.54,1.6,4.18,0.3,2,2,13,0,0,0,0,0,4,0,4,1.0,182.88,185.42,185,34,33,SUB,288.0,914.0,0.56,0.27,3.33,4.4,0.49,1.0,3.52,1.24,0.0,9.05,185.5,72.0,73.0,35.0,10.0,-3.0,1.0,0.1,0.0,0.0,9.0,0.9,680.0,0.53,0.33,5.95,3.36,0.53,0.32,0.19,0.0,0.19,11.3,186.0,75.0,71.0,34.0,9.0,-4.0,6.0,0.67,3.0,0.33,0.0,0.0
187,187,460,loma lookboonmee,bruna brasil,Red,False,Women's Strawweight,0,3,0,1,0,2.94,0.61,0.0,1.93,0.72,1,1,7,0,0,0,1,1,0,0,2,1.0,167.64,165.1,115,0,2,0,4.1,0.57,0.1,1.9,0.5,2,2,20,0,0,1,3,0,1,0,5,1.0,154.94,154.94,115,28,30,U-DEC,900.0,494.0,0.58,0.5,4.1,2.48,0.53,0.73,1.9,0.14,0.0,13.85,120.8,61.0,61.5,28.0,9.0,-3.0,1.0,0.14,6.0,0.86,0.0,0.0,109.0,0.59,0.67,2.77,4.14,0.48,0.54,1.55,0.0,0.19,12.88,125.5,66.0,65.5,31.0,10.0,-5.0,3.0,0.3,5.0,0.5,2.0,0.2
188,188,461,devin clark,marcin prachnio,Blue,False,Light Heavyweight,1,3,1,0,0,5.57,0.54,0.0,0.15,0.2,2,5,17,0,0,0,2,1,0,0,3,1.0,190.5,187.96,205,1,0,0,3.03,0.54,0.1,2.17,0.32,2,8,39,0,0,0,7,1,0,0,8,1.0,182.88,190.5,205,33,35,U-DEC,900.0,161.0,0.54,0.33,3.03,3.24,0.44,0.59,2.17,0.08,0.23,11.4,221.0,72.0,75.0,33.0,14.0,-9.0,4.0,0.31,8.0,0.62,1.0,0.08,697.0,0.54,0.2,5.57,3.24,0.54,0.54,0.15,0.0,0.15,10.27,218.2,75.0,74.0,36.0,17.0,-8.0,11.0,0.65,5.0,0.29,1.0,0.06
189,189,465,roman dolidze,nassourdine imavov,Blue,False,Middleweight,1,5,1,0,0,4.58,0.55,1.3,0.98,0.36,3,2,20,0,0,0,2,2,0,0,4,1.0,190.5,190.5,185,1,0,0,3.13,0.42,1.1,1.26,0.4,4,2,17,0,0,1,1,4,0,0,6,1.0,187.96,193.04,185,35,28,M-DEC,1500.0,226.0,0.43,0.42,3.16,3.38,0.5,0.33,1.33,1.09,0.49,11.25,185.5,74.0,76.0,36.0,14.0,-3.0,8.0,0.57,3.0,0.21,3.0,0.21,393.0,0.56,0.32,4.45,3.26,0.59,0.79,0.85,1.14,0.19,14.38,185.0,75.0,75.0,28.0,16.0,-4.0,7.0,0.44,5.0,0.31,4.0,0.25
190,190,466,renato moicano,drew dober,Red,False,Lightweight,1,3,0,1,0,4.39,0.4,0.1,0.67,0.17,3,8,44,0,0,0,3,10,1,0,14,0.0,172.72,177.8,155,0,1,0,4.38,0.48,0.6,1.89,0.45,3,5,30,0,0,2,1,0,6,0,9,1.0,180.34,182.88,155,34,35,U-DEC,900.0,563.0,0.49,0.44,4.36,3.55,0.61,0.71,1.82,0.55,0.09,9.15,155.0,71.0,72.0,35.0,20.0,-6.0,2.0,0.1,8.0,0.4,10.0,0.5,224.0,0.4,0.17,4.39,4.25,0.52,0.56,0.67,0.07,0.67,8.08,170.0,68.0,70.0,35.0,27.0,-14.0,15.0,0.56,7.0,0.26,5.0,0.19
191,191,467,randy brown,muslim salikhov,Red,False,Welterweight,1,3,1,0,0,3.32,0.49,0.0,1.12,0.33,5,3,22,0,0,1,2,3,0,0,6,1.0,180.34,177.8,170,0,1,0,4.38,0.47,0.6,0.72,0.39,4,5,39,0,0,1,5,2,3,0,11,1.0,190.5,198.12,170,33,39,KO/TKO,197.0,114.0,0.47,0.39,4.35,3.24,0.54,0.73,0.81,0.59,0.37,10.68,171.0,75.0,78.0,34.0,19.0,-6.0,7.0,0.37,7.0,0.37,5.0,0.26,772.0,0.5,0.32,3.38,2.9,0.63,0.72,1.08,0.0,0.48,10.4,170.5,71.0,70.0,40.0,21.0,-5.0,14.0,0.67,5.0,0.24,2.0,0.1
192,192,470,molly mccann,diana belbita,Red,False,Women's Strawweight,0,3,1,0,0,6.54,0.42,0.0,0.91,0.62,1,4,16,0,0,0,2,0,0,0,2,1.0,170.18,172.72,115,2,0,0,5.39,0.49,0.5,1.84,0.36,3,5,26,0,0,0,4,2,0,0,6,1.0,162.56,157.48,115,33,27,SUB,299.0,537.0,0.5,0.37,5.39,4.72,0.63,0.39,1.84,0.54,0.22,10.63,121.7,64.0,62.0,34.0,14.0,-7.0,6.0,0.43,7.0,0.5,1.0,0.07,81.0,0.43,0.63,6.54,6.55,0.52,0.66,0.91,0.0,0.18,11.82,116.0,67.0,68.0,28.0,15.0,-9.0,6.0,0.43,4.0,0.29,4.0,0.29
193,193,474,luana carolina,julija stoliarenko,Red,False,Women's Flyweight,0,3,0,1,0,2.49,0.39,1.7,0.93,0.27,1,5,15,0,0,0,0,0,2,0,2,1.0,170.18,167.64,125,0,1,0,4.81,0.5,0.6,0.34,0.37,2,3,22,0,0,1,4,0,0,0,5,1.0,167.64,175.26,125,30,30,KO/TKO,892.0,139.0,0.51,0.38,4.81,3.54,0.51,0.74,0.34,0.56,0.11,13.32,136.2,66.0,69.0,31.0,11.0,-4.0,3.0,0.27,7.0,0.64,1.0,0.09,839.0,0.39,0.28,2.49,4.54,0.46,0.55,0.93,1.67,0.0,10.13,139.8,67.0,66.0,30.0,11.0,-8.0,0.0,0.0,1.0,0.09,10.0,0.91
194,194,475,landon quinones,marquel mederos,Blue,False,Lightweight,1,3,0,1,0,4.39,0.45,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,1.0,177.8,175.26,155,1,0,0,6.77,0.4,0.0,0.5,0.33,0,1,3,0,0,0,0,0,0,0,0,0.0,175.26,177.8,155,28,27,U-DEC,900.0,710.0,0.4,0.33,6.77,7.7,0.56,1.0,0.5,0.0,0.0,15.0,171.8,69.0,70.0,28.0,7.0,-3.0,5.0,0.71,1.0,0.14,1.0,0.14,545.0,0.45,0.0,4.39,3.29,0.63,0.91,0.0,0.0,0.78,9.58,173.0,70.0,69.5,27.0,9.0,-1.0,6.0,0.75,2.0,0.25,0.0,0.0
195,195,478,raquel pennington,mayra bueno silva,Red,True,Women's Bantamweight,0,5,0,3,1,4.01,0.59,1.5,0.64,0.29,3,2,20,0,0,0,1,0,5,0,6,1.0,167.64,167.64,135,0,5,0,4.14,0.52,0.7,0.9,0.27,5,5,49,1,0,3,6,0,3,0,12,1.0,170.18,170.18,135,35,32,U-DEC,1500.0,671.0,0.49,0.28,4.1,3.32,0.61,0.63,0.83,0.62,0.05,15.3,135.0,67.0,67.5,36.0,16.0,-10.0,1.0,0.06,11.0,0.69,4.0,0.25,801.0,0.59,0.29,3.83,4.85,0.52,0.64,0.57,1.48,0.0,10.17,126.0,66.0,66.5,33.0,10.0,-5.0,1.0,0.1,2.0,0.2,7.0,0.7
196,196,479,neil magny,mike malott,Red,False,Welterweight,1,3,0,4,0,3.83,0.46,1.0,3.04,0.6,4,0,5,0,0,0,0,1,3,0,4,1.0,185.42,185.42,170,1,0,0,3.44,0.46,0.2,2.15,0.4,7,10,84,0,0,3,11,5,2,0,21,1.0,190.5,203.2,170,36,32,KO/TKO,885.0,507.0,0.46,0.39,3.43,2.48,0.52,0.54,2.12,0.25,0.07,12.27,171.0,75.0,80.0,37.0,29.0,-14.0,8.0,0.28,17.0,0.59,4.0,0.14,519.0,0.47,0.56,3.85,3.06,0.53,0.17,2.27,0.76,0.5,8.48,170.5,73.0,73.0,33.0,11.0,-2.0,4.0,0.36,1.0,0.09,6.0,0.55
197,197,481,arnold allen,movsar evloev,Blue,False,Featherweight,1,3,0,7,0,4.43,0.48,0.2,4.75,0.46,7,0,21,0,0,1,6,0,0,0,7,1.0,170.18,182.88,145,1,0,0,3.45,0.41,0.3,0.93,0.47,10,1,32,0,0,1,5,2,2,0,10,0.0,172.72,177.8,145,29,29,U-DEC,900.0,21.0,0.42,0.48,3.45,2.88,0.62,0.75,0.93,0.34,0.25,13.62,145.0,68.0,70.0,31.0,20.0,-3.0,7.0,0.35,9.0,0.45,4.0,0.2,270.0,0.48,0.48,3.99,2.66,0.61,0.61,4.67,0.22,0.0,15.0,145.5,67.0,72.5,31.0,19.0,0.0,3.0,0.16,12.0,0.63,4.0,0.21
198,198,482,brad katona,garrett armfield,Blue,False,Bantamweight,1,3,0,1,0,5.59,0.55,0.4,0.0,0.0,1,1,3,0,0,0,0,1,0,0,1,1.0,167.64,177.8,135,0,1,0,4.69,0.51,0.0,1.71,0.33,2,2,15,1,0,0,3,0,0,0,3,1.0,167.64,162.56,135,32,27,U-DEC,900.0,429.0,0.53,0.34,4.84,4.73,0.5,0.62,1.88,0.0,0.0,15.0,135.5,66.0,64.5,33.0,16.0,-4.0,1.0,0.07,10.0,0.67,4.0,0.27,46.0,0.54,0.5,5.35,3.64,0.56,0.65,1.1,0.55,0.55,10.87,135.0,66.0,70.0,28.0,10.0,-5.0,6.0,0.6,1.0,0.1,3.0,0.3
199,199,485,gillian robertson,polyana viana,Red,False,Women's Strawweight,0,3,1,0,0,2.99,0.4,1.9,0.82,0.33,2,5,16,0,0,0,0,1,3,0,4,1.0,165.1,170.18,115,1,0,0,2.83,0.48,1.1,2.48,0.42,2,6,32,0,0,0,1,1,7,0,9,1.0,165.1,160.02,115,28,31,KO/TKO,492.0,736.0,0.49,0.4,2.89,2.95,0.57,0.41,2.68,0.98,0.0,10.25,116.0,65.0,63.0,29.0,15.0,-8.0,2.0,0.13,4.0,0.27,9.0,0.6,912.0,0.41,0.33,2.99,2.65,0.54,0.39,0.82,1.85,0.21,7.28,119.0,65.0,67.0,31.0,13.0,-7.0,5.0,0.38,0.0,0.0,8.0,0.62
200,200,487,jasmine jasudavicius,priscila cachoeira,Red,False,Women's Bantamweight,0,3,1,0,0,3.76,0.44,0.0,0.15,0.33,2,5,19,0,0,0,1,3,0,0,4,1.0,170.18,165.1,125,1,0,0,3.79,0.45,0.5,2.39,0.41,2,2,18,0,0,0,4,0,0,0,4,1.0,170.18,172.72,125,34,35,SUB,861.0,400.0,0.46,0.45,3.71,3.67,0.51,0.75,2.55,0.51,0.1,14.68,125.0,67.0,68.0,35.0,13.0,-3.0,2.0,0.15,8.0,0.62,3.0,0.23,130.0,0.44,0.33,3.76,7.03,0.43,0.65,0.15,0.0,0.31,9.75,133.5,67.0,65.0,36.0,12.0,-6.0,7.0,0.58,5.0,0.42,0.0,0.0
201,201,489,magomed ankalaev,johnny walker,Red,False,Light Heavyweight,1,5,0,3,0,3.87,0.53,0.9,0.45,1.0,4,4,23,0,0,0,2,5,1,0,8,1.0,198.12,208.28,205,0,9,1,3.64,0.53,0.0,1.02,0.31,9,1,31,1,0,0,4,5,0,0,9,1.0,190.5,190.5,205,31,31,KO/TKO,462.0,38.0,0.53,0.31,3.64,2.37,0.59,0.87,0.92,0.0,0.65,11.62,204.5,75.0,75.0,32.0,20.0,-1.0,11.0,0.55,9.0,0.45,0.0,0.0,922.0,0.53,1.0,3.87,3.12,0.44,0.57,0.45,0.89,0.6,6.72,206.0,78.0,82.0,32.0,21.0,-9.0,16.0,0.76,2.0,0.1,3.0,0.14
202,202,492,phil hawes,brunno ferreira,Blue,False,Middleweight,1,3,1,0,0,4.99,0.54,0.0,0.89,0.16,2,1,3,0,0,0,0,2,0,0,2,1.0,177.8,182.88,185,2,0,0,5.33,0.59,0.2,2.11,0.34,4,4,15,0,1,0,1,3,0,0,5,1.0,182.88,195.58,185,35,31,KO/TKO,295.0,364.0,0.59,0.35,5.33,3.72,0.56,0.91,2.11,0.23,0.7,6.4,185.0,72.0,77.5,35.0,12.0,-6.0,8.0,0.67,2.0,0.17,2.0,0.17,281.0,0.5,0.17,3.76,3.12,0.52,0.54,0.5,0.5,1.99,5.02,185.5,70.0,72.0,32.0,12.0,-2.0,9.0,0.75,0.0,0.0,3.0,0.25
203,203,495,marcus mcghee,gaston bolanos,Red,False,Bantamweight,1,3,0,1,0,3.88,0.43,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,1.0,170.18,175.26,135,0,2,0,5.43,0.51,0.8,0.84,0.33,2,0,3,0,0,0,0,1,1,0,2,1.0,172.72,175.26,135,33,31,KO/TKO,509.0,540.0,0.48,0.33,6.06,2.83,0.65,1.0,0.46,0.46,1.37,8.22,135.6,68.0,69.0,34.0,10.0,-1.0,8.0,0.8,1.0,0.1,1.0,0.1,98.0,0.51,1.0,3.74,2.57,0.52,0.43,0.78,0.0,0.0,12.83,135.5,67.0,69.0,32.0,8.0,-4.0,6.0,0.75,2.0,0.25,0.0,0.0
204,204,496,farid basharat,taylor lapilus,Red,False,Bantamweight,1,3,0,2,0,4.33,0.48,0.3,0.31,0.4,2,1,14,0,0,0,3,1,0,0,4,0.0,167.64,185.42,135,0,3,0,4.47,0.58,0.6,3.96,0.41,3,0,7,0,0,0,2,0,1,0,3,1.0,172.72,180.34,135,26,31,U-DEC,900.0,72.0,0.55,0.45,4.36,2.57,0.6,0.8,3.97,0.47,0.0,12.85,137.0,68.0,71.0,27.0,13.0,0.0,1.0,0.08,6.0,0.46,6.0,0.46,467.0,0.48,0.33,4.59,2.61,0.63,0.77,0.27,0.27,0.27,13.93,151.0,66.0,73.0,32.0,21.0,-4.0,4.0,0.18,12.0,0.55,6.0,0.27
205,205,500,leon edwards,colby covington,Red,True,Welterweight,1,5,0,1,0,3.88,0.38,0.2,3.79,0.44,7,3,53,3,0,0,7,3,2,0,12,1.0,180.34,182.88,170,0,11,0,2.68,0.53,0.4,1.25,0.36,11,2,55,3,1,1,7,3,1,0,13,0.0,187.96,187.96,170,32,35,U-DEC,1500.0,248.0,0.54,0.37,2.68,2.37,0.54,0.66,1.25,0.38,0.24,17.37,170.0,72.0,74.0,33.0,22.0,-4.0,7.0,0.32,12.0,0.55,3.0,0.14,182.0,0.38,0.43,3.81,3.09,0.55,0.69,3.64,0.16,0.05,16.95,171.0,71.0,72.0,36.0,17.0,-5.0,4.0,0.24,9.0,0.53,4.0,0.24
206,206,501,alexandre pantoja,brandon royval,Red,True,Flyweight,1,5,0,3,0,4.33,0.36,1.1,0.47,0.6,3,2,12,0,0,1,0,1,3,0,5,0.0,175.26,172.72,125,0,4,0,4.41,0.49,0.8,2.61,0.47,4,3,32,2,0,2,2,2,4,0,10,1.0,165.1,170.18,125,33,31,U-DEC,1500.0,651.0,0.5,0.47,4.41,3.92,0.5,0.68,2.74,0.89,0.3,12.65,124.5,65.0,67.0,34.0,29.0,-5.0,8.0,0.28,10.0,0.34,11.0,0.38,759.0,0.4,0.75,4.46,3.06,0.48,0.45,0.75,1.25,0.37,12.02,125.5,69.0,68.0,32.0,17.0,-7.0,4.0,0.24,4.0,0.24,9.0,0.53
207,207,502,shavkat rakhmonov,stephen thompson,Red,False,Welterweight,1,3,0,1,1,4.11,0.46,0.0,0.26,0.41,7,6,58,2,0,0,6,6,0,0,12,1.0,182.88,190.5,170,0,5,0,4.12,0.61,1.8,1.49,0.29,5,0,9,0,0,0,0,1,4,0,5,1.0,185.42,195.58,170,29,40,SUB,596.0,714.0,0.6,0.26,3.25,2.17,0.51,0.86,1.4,1.2,0.2,10.73,171.0,73.0,77.0,30.0,19.0,0.0,8.0,0.42,1.0,0.05,10.0,0.53,870.0,0.46,0.42,4.11,3.02,0.55,0.63,0.25,0.0,0.49,14.5,171.0,72.0,75.0,42.0,17.0,-8.0,8.0,0.47,8.0,0.47,1.0,0.06
208,208,504,josh emmett,bryce mitchell,Red,False,Featherweight,1,3,0,1,0,2.3,0.58,1.6,3.45,0.41,6,1,21,0,1,0,5,0,1,0,7,0.0,177.8,177.8,145,2,0,0,4.04,0.36,0.1,0.91,0.37,5,4,37,1,0,2,4,3,0,0,9,1.0,167.64,177.8,145,38,29,KO/TKO,117.0,262.0,0.36,0.38,4.04,4.61,0.61,0.47,0.91,0.08,0.99,12.93,146.0,66.5,70.0,39.0,19.0,-4.0,7.0,0.37,10.0,0.53,2.0,0.11,561.0,0.6,0.43,2.31,1.53,0.6,0.33,3.39,1.43,0.13,11.52,146.0,70.0,70.0,30.0,17.0,-3.0,1.0,0.06,7.0,0.41,9.0,0.53
209,209,505,alonzo menifield,dustin jacoby,Red,False,Light Heavyweight,1,3,0,1,1,5.5,0.47,0.0,0.36,0.25,4,4,31,0,0,0,4,4,0,0,8,1.0,190.5,193.04,205,0,3,1,3.77,0.54,0.2,0.63,0.33,4,3,23,0,0,0,1,6,2,0,9,1.0,182.88,193.04,205,36,35,U-DEC,900.0,550.0,0.54,0.33,3.77,3.7,0.49,0.76,0.63,0.25,0.75,7.05,222.0,72.0,76.0,37.0,15.0,-5.0,10.0,0.67,2.0,0.13,3.0,0.2,397.0,0.48,0.25,5.33,4.05,0.58,0.63,0.33,0.0,0.5,10.63,205.5,75.0,76.0,36.0,20.0,-9.0,13.0,0.65,6.0,0.3,1.0,0.05
210,210,506,irene aldana,karol rosa,Red,False,Women's Bantamweight,0,3,0,1,0,6.49,0.56,0.0,1.2,0.46,4,2,24,0,1,2,3,0,0,0,6,1.0,165.1,170.18,135,1,0,0,5.24,0.4,0.2,0.16,0.5,3,5,36,1,0,1,2,3,1,0,7,1.0,175.26,172.72,135,35,28,U-DEC,900.0,10.0,0.4,0.5,5.19,6.64,0.56,0.78,0.15,0.22,0.22,14.65,136.0,69.0,68.5,36.0,15.0,-8.0,8.0,0.53,4.0,0.27,3.0,0.2,752.0,0.56,0.46,6.22,4.84,0.5,0.7,1.09,0.0,0.18,15.0,135.5,65.0,67.5,30.0,18.0,-7.0,4.0,0.22,12.0,0.67,2.0,0.11
211,211,508,casey o'neill,ariane da silva,Blue,False,Women's Flyweight,0,3,0,2,0,4.1,0.41,0.3,0.56,0.55,2,5,24,0,0,1,3,0,1,0,5,1.0,167.64,170.18,125,1,0,0,7.89,0.52,0.7,1.45,0.34,4,1,13,0,0,1,0,2,1,0,4,1.0,167.64,175.26,125,26,29,SUB,378.0,627.0,0.53,0.35,7.89,5.65,0.57,0.7,1.45,0.73,0.0,11.82,125.5,66.0,69.0,27.0,10.0,-2.0,3.0,0.3,5.0,0.5,2.0,0.2,195.0,0.42,0.56,4.04,3.87,0.53,0.68,0.52,0.31,0.31,11.18,125.0,66.0,67.0,31.0,17.0,-10.0,6.0,0.35,7.0,0.41,4.0,0.24
212,212,509,tagir ulanbekov,cody durden,Red,False,Flyweight,1,3,0,4,1,3.19,0.5,0.8,4.6,0.5,4,2,18,0,0,0,4,1,0,0,5,0.0,170.18,170.18,125,0,1,0,3.22,0.45,2.1,3.71,0.46,2,1,10,0,0,1,1,0,1,0,3,0.0,170.18,177.8,125,32,32,SUB,565.0,889.0,0.47,0.47,3.13,3.2,0.49,0.64,3.56,1.68,0.21,11.93,125.5,67.0,70.0,33.0,16.0,-2.0,1.0,0.07,7.0,0.47,7.0,0.47,244.0,0.46,0.48,3.52,4.29,0.49,0.73,4.06,0.76,0.13,9.85,126.0,67.0,67.0,33.0,17.0,-7.0,6.0,0.35,5.0,0.29,6.0,0.35
213,213,511,martin buday,shamil gaziev,Blue,False,Heavyweight,1,3,0,1,0,2.43,0.49,0.3,1.03,0.3,1,0,1,0,0,0,0,0,1,0,1,1.0,193.04,198.12,265,0,5,0,4.84,0.53,0.2,0.21,0.25,5,0,11,0,0,1,2,1,1,0,5,1.0,193.04,195.58,265,32,33,KO/TKO,356.0,121.0,0.54,0.25,4.84,5.54,0.52,1.0,0.21,0.21,0.42,10.23,275.0,76.0,77.0,32.0,14.0,-2.0,7.0,0.5,5.0,0.36,2.0,0.14,313.0,0.48,0.3,2.57,3.87,0.45,0.83,0.96,0.32,0.64,9.35,260.0,76.0,78.5,35.0,14.0,-1.0,9.0,0.64,2.0,0.14,3.0,0.21
214,214,512,song yadong,chris gutierrez,Red,False,Bantamweight,1,5,0,1,1,4.72,0.59,0.1,0.26,0.3,4,2,28,0,0,2,3,3,0,0,8,1.0,175.26,170.18,135,0,1,1,4.49,0.43,0.2,0.66,0.4,4,2,31,0,0,1,2,5,1,0,9,1.0,172.72,170.18,135,26,32,U-DEC,1500.0,942.0,0.44,0.4,4.49,3.96,0.56,0.72,0.66,0.17,0.58,12.93,148.0,68.0,67.0,27.0,21.0,-8.0,9.0,0.43,9.0,0.43,3.0,0.14,346.0,0.59,0.3,4.72,2.64,0.64,0.72,0.26,0.09,0.43,13.33,136.0,69.0,67.0,33.0,21.0,-5.0,9.0,0.47,9.0,0.47,1.0,0.05
215,215,517,song kenan,kevin jousset,Blue,False,Welterweight,1,3,0,1,0,8.23,0.55,0.8,1.51,0.66,1,0,1,0,0,0,0,0,1,0,1,1.0,187.96,190.5,170,0,1,0,4.57,0.47,0.0,0.43,0.33,2,3,17,0,0,0,2,3,0,0,5,1.0,182.88,180.34,170,33,30,U-DEC,900.0,433.0,0.47,0.3,4.49,5.82,0.51,0.74,0.42,0.0,0.7,9.8,170.0,72.0,71.5,34.0,22.0,-9.0,9.0,0.41,4.0,0.18,9.0,0.41,416.0,0.48,0.67,1.0,1.2,0.49,0.63,2.0,0.0,0.0,15.0,171.0,74.0,75.0,31.0,10.0,-4.0,4.0,0.4,5.0,0.5,1.0,0.1
216,216,519,steve garcia,melquizael costa,Red,False,Lightweight,1,3,0,1,0,3.46,0.46,1.1,2.5,0.35,1,1,5,0,0,0,1,0,0,0,1,0.0,177.8,180.34,145,0,2,0,5.0,0.56,0.6,1.27,0.4,2,2,10,0,0,0,0,4,0,0,4,0.0,182.88,190.5,145,31,27,KO/TKO,361.0,311.0,0.57,0.4,5.04,2.34,0.46,0.89,1.17,0.58,2.63,5.13,145.5,72.0,75.0,32.0,17.0,-5.0,14.0,0.82,3.0,0.18,0.0,0.0,177.0,0.46,0.35,3.46,2.29,0.58,0.53,2.5,1.07,0.0,10.48,166.7,70.0,71.0,28.0,21.0,-7.0,7.0,0.33,7.0,0.33,7.0,0.33
217,217,521,tatsuro taira,carlos hernandez,Red,False,Flyweight,1,3,0,1,0,4.11,0.46,0.2,1.08,0.17,2,1,10,0,0,2,1,0,0,0,3,1.0,172.72,170.18,125,0,4,0,3.56,0.65,2.1,2.35,0.47,4,0,9,0,0,0,2,0,2,0,4,1.0,170.18,177.8,125,23,30,KO/TKO,355.0,856.0,0.6,0.44,2.99,2.69,0.47,0.45,2.73,1.64,0.36,11.8,125.5,67.0,70.0,25.0,16.0,-1.0,5.0,0.31,4.0,0.25,7.0,0.44,372.0,0.46,0.21,3.9,3.43,0.51,0.68,1.6,0.18,0.0,12.02,125.5,68.0,67.0,31.0,10.0,-4.0,0.0,0.0,6.0,0.6,4.0,0.4
218,218,523,beneil dariush,arman tsarukyan,Blue,False,Lightweight,1,5,0,2,0,3.79,0.48,0.0,3.25,0.37,5,2,26,0,0,0,4,3,0,0,7,1.0,170.18,182.88,155,1,0,1,3.78,0.48,0.9,1.9,0.34,8,5,46,0,0,2,6,3,5,0,16,0.0,177.8,182.88,155,34,27,KO/TKO,64.0,201.0,0.49,0.34,3.78,2.65,0.58,0.81,1.9,0.88,0.51,8.9,167.0,70.0,72.0,35.0,22.0,-6.0,5.0,0.23,9.0,0.41,8.0,0.36,878.0,0.49,0.37,3.79,1.84,0.54,0.75,3.25,0.0,0.32,12.6,170.0,67.0,72.5,28.0,22.0,-3.0,9.0,0.41,8.0,0.36,5.0,0.23
