,RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,FinishRoundTime,TotalFightTimeSecs
1296,Felice Herrig,Karolina Kowalkiewicz,-115.0,-105.0,2022-06-04,Blue,False,Women's Strawweight,0,3,5,0,0,5.71,0.43,0.2,0.34,0.23,3,7,32,1,0,2,3,0,0,0,5,1.0,160.02,162.56,115,3,0,0,3.84,0.37,0.8,1.08,0.28,4,4,22,0,0,1,2,0,2,0,5,1.0,162.56,165.1,115,37,36,SUB,4:01,541.0
1297,Joe Solecki,Alex Da Silva,-170.0,150.0,2022-06-04,Red,False,Lightweight,1,3,1,0,0,2.14,0.46,0.3,1.97,0.43,1,2,8,0,0,0,1,0,0,0,1,1.0,172.72,185.42,155,1,0,0,1.98,0.56,1.4,2.23,0.46,4,1,11,0,0,0,2,0,2,0,4,1.0,175.26,177.8,155,28,26,M-DEC,5:00,900.0
1298,Damon Jackson,Dan Argueta,-760.0,525.0,2022-06-04,Red,False,Featherweight,1,3,0,0,0,2.18,0.45,1.6,4.45,0.48,0,0,0,0,0,0,0,0,0,0,0,0.0,170.18,172.72,135,0,2,1,2.9,0.42,1.2,2.34,0.34,2,2,15,0,0,0,1,0,2,0,3,,180.34,180.34,145,33,28,U-DEC,5:00,900.0
1299,Niklas Stolze,Benoit Saint Denis,140.0,-160.0,2022-06-04,Blue,False,Lightweight,1,3,1,0,0,5.7,0.54,1.5,4.76,0.37,0,1,3,0,0,0,0,0,0,0,0,0.0,180.34,185.42,155,2,0,0,2.12,0.48,0.7,0.66,1.0,0,2,4,0,0,0,0,0,0,0,0,,185.42,187.96,155,29,26,SUB,1:32,392.0
1300,Johnny Munoz,Tony Gravely,105.0,-125.0,2022-06-04,Blue,False,Bantamweight,1,3,0,1,0,3.82,0.48,0.3,5.4,0.41,2,2,16,0,0,1,1,2,0,0,4,1.0,165.1,175.26,135,0,1,0,2.44,0.36,1.8,2.4,0.25,1,1,5,0,0,0,0,0,1,0,1,1.0,175.26,180.34,135,29,30,KO/TKO,1:08,68.0
1301,Jeff Molina,Zhalgas Zhumagulov,-180.0,155.0,2022-06-04,Red,False,Flyweight,1,3,1,0,0,5.24,0.43,0.2,1.3,0.19,1,3,8,0,0,0,0,0,1,0,1,,162.56,167.64,125,0,3,0,7.25,0.48,0.0,0.0,0.0,3,0,8,0,0,0,2,1,0,0,3,1.0,167.64,175.26,125,24,33,S-DEC,5:00,900.0
1302,Rinat Fakhretdinov,Andreas Michailidis,-275.0,220.0,2022-06-04,Red,False,Welterweight,1,3,1,0,0,2.9,0.51,0.0,1.12,0.27,1,2,6,0,0,0,1,0,0,0,1,1.0,182.88,193.04,170,0,0,0,4.17,0.54,0.2,4.43,0.46,0,0,0,0,0,0,0,0,0,0,0,1.0,182.88,187.96,170,30,33,U-DEC,5:00,900.0
1303,Erin Blanchfield,JJ Aldrich,-475.0,350.0,2022-06-04,Red,False,Women's Flyweight,0,3,0,3,0,3.88,0.46,0.0,0.66,0.23,3,3,29,0,0,1,6,0,0,0,7,0.0,165.1,170.18,125,0,2,0,5.47,0.45,1.0,2.05,0.33,2,0,6,0,0,0,2,0,0,0,2,1.0,162.56,167.64,125,23,29,SUB,2:38,458.0
1304,Holly Holm,Ketlen Vieira,-220.0,180.0,2022-05-21,Blue,False,Women's Bantamweight,0,5,0,1,0,3.04,0.41,0.6,1.51,0.44,4,2,23,0,0,2,3,0,1,0,6,1.0,172.72,172.72,135,0,2,0,3.13,0.4,0.1,0.87,0.3,3,5,43,5,0,1,4,2,0,0,7,0.0,172.72,175.26,135,40,30,S-DEC,5:00,1500.0
1305,Santiago Ponzinibbio,Michel Pereira,125.0,-145.0,2022-05-21,Blue,False,Welterweight,1,3,0,4,0,5.16,0.54,0.8,1.53,0.55,4,2,19,0,0,0,3,1,1,0,5,1.0,185.42,185.42,185,1,0,0,4.74,0.41,0.0,0.59,0.32,7,4,32,0,0,0,5,5,0,0,10,1.0,182.88,185.42,170,35,28,S-DEC,5:00,900.0
1306,Chidi Njokuani,Dusko Todorovic,-250.0,200.0,2022-05-21,Red,False,Middleweight,1,3,0,1,0,5.54,0.57,0.0,0.96,0.12,2,2,10,0,0,0,1,2,0,0,3,1.0,185.42,187.96,185,0,2,0,4.09,0.61,0.2,0.0,0.0,2,0,4,0,0,0,0,2,0,0,2,1.0,190.5,203.2,170,33,28,KO/TKO,4:48,288.0
1307,Polyana Viana,Tabatha Ricci,110.0,-130.0,2022-05-21,Blue,False,Women's Strawweight,0,3,0,1,0,4.63,0.38,0.1,2.99,0.38,1,1,5,0,0,0,1,0,0,0,1,1.0,154.94,154.94,115,0,2,0,2.99,0.4,1.9,0.82,0.33,2,3,10,0,0,0,0,0,3,0,3,1.0,165.1,170.18,115,29,27,U-DEC,5:00,900.0
1308,Eryk Anders,JunYong Park,160.0,-205.0,2022-05-21,Blue,False,Middleweight,1,3,1,0,0,4.53,0.5,1.1,1.83,0.5,3,2,13,0,1,0,2,0,0,0,3,1.0,177.8,185.42,185,1,0,0,3.41,0.47,0.1,1.79,0.26,2,6,33,0,0,1,2,3,0,0,6,0.0,185.42,190.5,185,35,31,S-DEC,5:00,900.0
1309,Joseph Holmes,Alen Amedovski,-200.0,170.0,2022-05-21,Red,False,Middleweight,1,3,2,0,0,0.99,0.3,0.0,0.0,0.0,0,2,4,0,0,0,0,0,0,0,0,1.0,177.8,187.96,185,1,0,0,2.88,0.53,0.8,1.49,0.4,1,1,5,0,0,0,0,0,1,0,1,1.0,193.04,203.2,185,26,34,SUB,1:04,64.0
1310,Jailton Almeida,Parker Porter,-600.0,435.0,2022-05-21,Red,False,Heavyweight,1,3,0,3,0,6.55,0.5,0.5,1.35,0.26,3,1,10,0,0,0,3,0,0,0,3,1.0,182.88,190.5,265,0,2,0,2.46,0.64,2.6,6.85,0.59,2,0,3,0,0,0,0,1,1,0,2,1.0,190.5,200.66,205,30,37,SUB,4:35,275.0
1311,Omar Morales,Uros Medic,-135.0,115.0,2022-05-21,Blue,False,Lightweight,1,3,1,0,0,5.51,0.6,0.0,0.38,0.5,2,1,3,0,0,0,0,2,0,0,2,0.0,185.42,180.34,170,1,0,0,3.42,0.4,0.0,0.46,1.0,3,2,16,0,0,0,3,1,0,0,4,1.0,180.34,185.42,155,36,29,KO/TKO,3:05,485.0
1312,Jonathan Martinez,Vince Morales,-280.0,225.0,2022-05-21,Red,False,Bantamweight,1,3,0,2,0,4.17,0.37,0.0,0.14,0.25,2,4,17,0,0,0,2,1,0,0,3,1.0,175.26,177.8,135,0,2,0,4.54,0.49,0.1,0.41,0.35,2,3,26,0,0,0,4,2,0,0,6,0.0,172.72,177.8,135,28,31,U-DEC,5:00,900.0
1313,Chase Hooper,Felipe Colares,120.0,-140.0,2022-05-21,Red,False,Featherweight,1,3,1,0,0,2.17,0.45,0.5,1.88,0.24,1,3,15,0,0,1,1,0,0,0,2,1.0,172.72,175.26,145,1,0,0,5.08,0.52,2.3,1.45,0.24,2,2,13,0,0,0,1,1,1,0,3,0.0,185.42,187.96,155,22,28,KO/TKO,3:00,780.0
1314,Elise Reed,Sam Hughes,-140.0,120.0,2022-05-21,Blue,False,Women's Strawweight,0,3,0,1,0,4.33,0.46,0.0,0.85,0.3,1,3,10,0,1,0,0,0,0,0,1,1.0,165.1,162.56,115,0,1,0,2.66,0.49,0.0,0.58,0.6,1,1,4,0,0,1,0,0,0,0,1,1.0,160.02,160.02,115,29,29,KO/TKO,3:52,832.0
1315,Jan Blachowicz,Aleksandar Rakic,170.0,-200.0,2022-05-14,Red,False,Light Heavyweight,1,5,0,2,0,4.26,0.5,0.1,0.76,0.25,4,1,17,0,0,0,4,2,0,0,6,1.0,193.04,198.12,205,1,0,0,3.41,0.5,0.3,1.09,0.5,5,6,46,4,0,1,4,4,2,0,11,1.0,187.96,198.12,205,39,30,KO/TKO,1:11,671.0
1316,Ryan Spann,Ion Cutelaba,195.0,-240.0,2022-05-14,Red,False,Light Heavyweight,1,3,0,1,1,4.44,0.43,0.0,4.17,0.57,2,5,22,0,0,0,2,3,0,0,5,0.0,185.42,190.5,205,1,0,0,3.25,0.4,1.5,1.34,0.35,5,3,14,0,0,1,1,2,2,0,6,1.0,195.58,200.66,205,30,28,SUB,2:22,142.0
1317,Davey Grant,Louis Smolka,-290.0,230.0,2022-05-14,Red,False,Bantamweight,1,3,1,0,0,4.67,0.47,1.8,1.69,0.35,4,8,34,0,0,0,2,4,2,0,8,1.0,175.26,172.72,135,2,0,0,4.77,0.42,0.2,1.26,0.41,3,5,23,1,0,1,1,2,0,0,4,1.0,172.72,175.26,135,36,30,KO/TKO,0:49,649.0
1318,Katlyn Chookagian,Amanda Ribas,-180.0,155.0,2022-05-14,Red,False,Women's Flyweight,0,3,0,1,0,4.63,0.4,0.7,2.07,0.51,4,1,14,0,0,0,3,0,2,0,5,1.0,160.02,167.64,125,0,3,0,4.58,0.34,0.3,0.31,0.15,3,4,40,1,0,1,9,0,0,0,10,1.0,175.26,172.72,125,33,28,S-DEC,5:00,900.0
1319,Frank Camacho,Manuel Torres,115.0,-135.0,2022-05-14,Blue,False,Lightweight,1,3,0,1,0,8.14,0.58,1.6,3.26,0.66,1,0,1,0,0,0,0,1,0,0,1,,177.8,185.42,155,2,0,0,6.56,0.46,0.0,1.11,0.31,1,5,15,0,0,1,0,1,0,0,2,1.0,177.8,185.42,155,32,27,KO/TKO,3:27,207.0
1320,Jake Hadley,Allan Nascimento,-210.0,175.0,2022-05-14,Blue,False,Flyweight,1,3,2,0,0,3.21,0.61,0.9,1.55,0.26,0,2,6,0,0,0,0,0,0,0,0,1.0,172.72,175.26,125,0,1,0,3.76,0.44,1.4,0.2,0.06,1,0,2,0,0,0,0,0,1,0,1,0.0,170.18,177.8,125,25,30,U-DEC,5:00,900.0
1321,Viviane Araujo,Andrea Lee,115.0,-135.0,2022-05-14,Red,False,Women's Flyweight,0,3,0,2,0,4.71,0.46,0.6,1.7,0.55,3,3,22,0,0,0,3,1,1,0,5,1.0,167.64,175.26,125,1,0,0,4.11,0.47,0.6,1.76,0.4,2,2,18,0,0,0,3,1,0,0,4,1.0,162.56,172.72,125,35,33,U-DEC,5:00,900.0
1322,Michael Johnson,Alan Patrick,-150.0,130.0,2022-05-14,Red,False,Lightweight,1,3,2,0,0,1.82,0.4,0.3,3.01,0.33,3,3,23,0,0,0,4,1,0,0,5,0.0,180.34,187.96,155,4,0,0,4.27,0.39,0.0,0.62,0.41,4,13,61,1,0,1,6,4,0,0,11,0.0,177.8,185.42,155,35,38,KO/TKO,3:22,502.0
1323,Virna Jandiroba,Angela Hill,-225.0,185.0,2022-05-14,Red,False,Women's Strawweight,0,3,2,0,0,5.46,0.49,0.1,0.76,0.32,3,11,54,0,0,0,6,2,0,0,8,1.0,160.02,162.56,115,1,0,0,2.12,0.38,1.7,2.29,0.34,2,3,14,0,0,0,0,1,2,0,3,1.0,160.02,162.56,115,33,37,U-DEC,5:00,900.0
1324,Tatsuro Taira,Carlos Candelario,-320.0,250.0,2022-05-14,Red,False,Flyweight,1,3,1,0,0,3.97,0.46,0.3,2.28,0.36,1,1,6,0,0,0,1,0,0,0,1,0.0,172.72,172.72,125,0,0,0,3.56,0.65,2.1,2.35,0.47,0,0,0,0,0,0,0,0,0,0,0,1.0,170.18,177.8,125,22,30,U-DEC,5:00,900.0
1325,Nick Maximov,Andre Petroski,-380.0,290.0,2022-05-14,Blue,False,Middleweight,1,3,0,2,0,3.0,0.5,2.0,4.07,0.56,2,0,6,0,0,0,0,1,1,0,2,,182.88,185.42,185,0,3,0,1.93,0.45,0.2,4.16,0.45,3,0,9,0,0,1,2,0,0,0,3,0.0,182.88,193.04,185,24,30,SUB,1:16,76.0
1326,Charles Oliveira,Justin Gaethje,-130.0,110.0,2022-05-07,Red,False,Lightweight,1,5,0,1,0,6.78,0.59,0.0,0.11,0.25,4,3,22,2,0,0,1,5,0,0,6,1.0,180.34,177.8,155,0,10,0,3.39,0.53,2.8,2.17,0.4,10,8,56,3,0,0,2,3,15,0,20,1.0,177.8,187.96,155,32,33,SUB,3:22,202.0
1327,Rose Namajunas,Carla Esparza,-235.0,190.0,2022-05-07,Blue,True,Women's Strawweight,0,5,0,5,0,2.16,0.4,0.3,3.22,0.35,5,4,37,3,1,2,4,1,1,0,9,1.0,154.94,160.02,115,0,3,0,3.7,0.42,0.4,1.55,0.53,3,3,34,6,0,2,2,2,3,0,9,1.0,165.1,165.1,125,29,34,S-DEC,5:00,1500.0
1328,Michael Chandler,Tony Ferguson,-350.0,270.0,2022-05-07,Red,False,Lightweight,1,3,3,0,0,4.91,0.45,0.9,0.39,0.35,12,4,46,3,0,1,3,5,6,0,15,1.0,180.34,193.04,170,2,0,0,4.89,0.46,0.9,2.17,0.38,3,2,9,1,0,0,0,2,1,0,3,1.0,172.72,180.34,155,36,38,KO/TKO,0:17,317.0
1329,Mauricio Rua,Ovince Saint Preux,210.0,-260.0,2022-05-07,Blue,False,Light Heavyweight,1,3,2,0,0,3.03,0.47,0.5,1.1,0.36,5,12,71,1,1,0,4,9,5,0,19,0.0,190.5,203.2,205,1,0,1,3.57,0.5,0.7,2.01,0.48,8,12,81,4,0,2,3,21,1,0,27,1.0,185.42,193.04,205,40,39,S-DEC,5:00,900.0
1330,Randy Brown,Khaos Williams,-115.0,-105.0,2022-05-07,Red,False,Welterweight,1,3,0,2,0,5.81,0.39,0.0,0.0,0.0,2,1,11,0,0,0,1,3,0,0,4,1.0,182.88,195.58,170,0,2,0,4.38,0.47,0.6,0.72,0.39,2,4,29,0,0,0,3,2,3,0,8,1.0,190.5,198.12,170,31,28,S-DEC,5:00,900.0
1331,Francisco Trinaldo,Danny Roberts,110.0,-130.0,2022-05-07,Red,False,Welterweight,1,3,0,2,0,3.18,0.39,0.2,0.24,0.09,2,4,23,0,0,2,1,3,1,0,7,0.0,185.42,187.96,170,0,1,0,3.13,0.45,0.5,0.98,0.42,7,7,62,0,0,2,8,5,2,0,17,0.0,175.26,177.8,170,43,34,U-DEC,5:00,900.0
1332,Macy Chiasson,Norma Dumont,180.0,-220.0,2022-05-07,Red,False,Women's Featherweight,0,3,0,3,0,3.11,0.49,0.0,1.91,0.68,3,1,12,0,0,1,2,0,0,0,3,1.0,170.18,170.18,135,1,0,0,3.77,0.46,0.4,2.37,0.38,3,2,16,1,0,0,2,2,1,0,5,1.0,180.34,182.88,135,30,31,S-DEC,5:00,900.0
1333,Brandon Royval,Matt Schnell,-260.0,210.0,2022-05-07,Red,False,Flyweight,1,3,0,1,0,4.23,0.38,1.0,0.59,0.44,4,3,17,0,0,2,1,0,2,0,5,1.0,172.72,177.8,125,0,1,0,4.33,0.36,1.1,0.47,0.6,2,2,10,1,0,1,0,0,2,0,3,0.0,175.26,172.72,125,29,32,SUB,2:14,134.0
1334,Blagoy Ivanov,Marcos Rogerio de Lima,-155.0,135.0,2022-05-07,Red,False,Heavyweight,1,3,0,2,0,3.7,0.57,0.5,1.4,0.45,2,6,22,0,0,0,2,5,1,0,8,1.0,185.42,190.5,253,2,0,0,3.25,0.4,0.1,0.69,0.4,2,3,17,0,0,0,2,0,0,0,2,0.0,180.34,185.42,250,35,36,U-DEC,5:00,900.0
1335,Andre Fialho,Cameron VanCamp,-475.0,350.0,2022-05-07,Red,False,Welterweight,1,3,0,0,0,5.31,0.47,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,,187.96,187.96,155,0,1,0,3.3,0.41,0.0,0.25,1.0,1,1,4,0,0,0,0,1,0,0,1,1.0,182.88,187.96,170,28,29,KO/TKO,2:35,155.0
1336,Tracy Cortez,Melissa Gatto,-125.0,105.0,2022-05-07,Red,False,Women's Flyweight,0,3,0,2,0,3.78,0.49,0.5,1.47,0.28,2,0,5,0,0,0,0,2,0,0,2,1.0,165.1,175.26,135,0,4,0,3.72,0.47,0.3,2.09,0.45,4,0,12,0,0,1,3,0,0,0,4,1.0,165.1,165.1,125,28,26,U-DEC,5:00,900.0
1337,Kleydson Rodrigues,CJ Vergara,-400.0,300.0,2022-05-07,Blue,False,Flyweight,1,3,1,0,0,5.24,0.57,0.2,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,1.0,167.64,172.72,125,0,1,0,4.58,0.57,0.6,0.6,0.22,1,0,3,0,0,0,1,0,0,0,1,1.0,165.1,170.18,135,26,30,S-DEC,5:00,900.0
1338,Ariane Carnelossi,Loopy Godinez,165.0,-195.0,2022-05-07,Blue,False,Women's Strawweight,0,3,0,1,0,4.16,0.48,1.0,2.95,0.47,1,2,10,0,0,0,1,0,1,0,2,1.0,157.48,154.94,115,0,2,0,2.87,0.39,0.3,1.37,0.55,2,1,8,0,0,0,0,1,1,0,2,1.0,157.48,154.94,115,29,28,U-DEC,5:00,900.0
1339,Journey Newson,Fernie Garcia,-105.0,-115.0,2022-05-07,Red,False,Bantamweight,1,3,0,1,0,2.04,0.34,0.6,0.28,0.5,1,0,1,0,0,0,0,1,0,0,1,1.0,170.18,170.18,135,2,0,0,2.64,0.32,0.3,0.56,0.16,0,2,5,0,0,0,0,0,0,0,0,1.0,165.1,170.18,135,33,30,U-DEC,5:00,900.0
1340,Rob Font,Marlon Vera,-105.0,-115.0,2022-04-30,Blue,False,Bantamweight,1,5,0,2,0,4.27,0.49,0.8,0.51,0.39,5,6,44,1,0,0,2,6,4,0,12,,172.72,177.8,135,1,0,0,5.53,0.45,0.3,0.89,0.35,4,4,32,0,0,0,3,5,1,0,9,1.0,172.72,180.34,135,34,29,U-DEC,5:00,1500.0
1341,Andrei Arlovski,Jake Collier,-110.0,-110.0,2022-04-30,Red,False,Heavyweight,1,3,0,1,0,5.8,0.44,0.6,0.71,0.33,1,5,22,0,0,1,2,1,1,0,5,1.0,190.5,198.12,230,0,3,0,3.82,0.45,0.2,0.37,0.35,6,18,94,5,0,2,9,11,2,0,24,1.0,190.5,195.58,240,43,33,S-DEC,5:00,900.0
1342,Andre Fili,Joanderson Brito,-260.0,210.0,2022-04-30,Blue,False,Featherweight,1,3,1,0,0,3.35,0.51,0.6,3.11,0.76,1,1,6,0,0,0,1,0,0,0,1,1.0,172.72,182.88,145,1,0,0,3.88,0.37,0.2,2.15,0.43,2,7,42,0,0,2,4,3,0,0,9,1.0,180.34,187.96,145,31,27,KO/TKO,0:41,41.0
1343,Jared Gordon,Grant Dawson,180.0,-220.0,2022-04-30,Blue,False,Lightweight,1,3,0,6,1,2.98,0.52,1.3,3.61,0.38,6,0,18,0,0,0,2,1,3,0,6,,177.8,182.88,155,0,3,0,5.75,0.55,0.0,1.78,0.31,3,3,22,0,0,1,4,1,0,0,6,1.0,175.26,172.72,155,33,28,SUB,4:11,851.0
1344,Darren Elkins,Tristan Connelly,-165.0,145.0,2022-04-30,Red,False,Featherweight,1,3,1,0,0,3.31,0.51,0.3,0.33,0.14,1,1,6,0,0,0,1,0,0,0,1,1.0,177.8,172.72,145,1,0,0,3.44,0.38,1.1,2.85,0.35,6,9,63,0,0,2,8,4,2,0,16,1.0,177.8,180.34,145,37,36,U-DEC,5:00,900.0
1345,Krzysztof Jotko,Gerald Meerschaert,-200.0,170.0,2022-04-30,Red,False,Middleweight,1,3,0,3,0,3.13,0.45,1.6,2.14,0.36,3,6,29,0,0,0,0,1,8,0,9,0.0,185.42,195.58,185,0,1,0,2.98,0.42,0.1,1.33,0.39,5,5,41,0,0,3,6,1,0,0,10,0.0,185.42,195.58,185,32,34,U-DEC,5:00,900.0
1346,Alexandr Romanov,Chase Sherman,-2000.0,1000.0,2022-04-30,Red,False,Heavyweight,1,3,3,0,0,6.04,0.45,0.0,0.09,0.5,2,8,26,0,0,0,1,2,0,0,3,1.0,193.04,198.12,250,0,4,0,3.94,0.52,0.8,4.17,0.54,4,0,8,0,0,1,0,1,2,0,4,0.0,187.96,190.5,262,31,32,SUB,2:11,131.0
1347,Daniel Lacerda,Francisco Figueiredo,-125.0,105.0,2022-04-30,Blue,False,Flyweight,1,3,1,0,0,2.04,0.61,0.4,2.51,0.75,1,1,6,0,0,0,1,0,0,0,1,0.0,167.64,172.72,125,1,0,0,3.95,0.45,1.2,2.32,0.5,0,1,2,0,0,0,0,0,0,0,0,,167.64,177.8,125,25,32,SUB,1:18,78.0
1348,Gabe Green,Yohan Lainesse,-115.0,-105.0,2022-04-30,Red,False,Welterweight,1,3,0,1,0,2.22,0.41,0.5,0.94,0.28,1,0,1,0,0,0,0,1,0,0,1,1.0,185.42,193.04,170,0,1,0,6.28,0.45,0.3,0.83,0.5,1,1,6,0,0,0,1,0,0,0,1,,177.8,185.42,155,28,29,KO/TKO,4:02,542.0
1349,Natan Levy,Mike Breeden,-235.0,190.0,2022-04-30,Red,False,Lightweight,1,3,2,0,0,5.75,0.45,0.0,0.98,0.3,0,2,4,0,0,0,0,0,0,0,0,1.0,177.8,177.8,155,1,0,0,3.7,0.52,0.5,5.03,0.58,1,1,6,0,0,0,0,0,1,0,1,0.0,175.26,180.34,155,30,33,U-DEC,5:00,900.0
1350,Gina Mazany,Shanna Young,-200.0,170.0,2022-04-30,Blue,False,Women's Flyweight,0,3,3,0,0,3.18,0.47,0.6,0.0,0.0,0,3,7,0,0,0,0,0,0,0,0,1.0,170.18,165.1,125,1,0,0,3.73,0.5,0.2,4.34,0.52,1,5,14,0,0,0,1,1,0,0,2,0.0,167.64,172.72,125,33,31,KO/TKO,3:11,491.0
1351,Amanda Lemos,Jessica Andrade,190.0,-235.0,2022-04-23,Blue,False,Women's Strawweight,0,5,0,1,0,6.62,0.5,0.3,2.37,0.55,4,7,43,4,0,1,5,5,2,0,13,1.0,154.94,157.48,125,0,5,0,3.16,0.54,0.8,0.9,0.63,5,1,11,1,0,1,1,2,1,0,5,0.0,162.56,165.1,115,34,30,SUB,3:13,193.0
1352,Clay Guida,Claudio Puelles,105.0,-125.0,2022-04-23,Blue,False,Lightweight,1,3,0,4,0,1.56,0.49,1.2,3.17,0.36,4,1,14,1,0,0,2,0,2,0,4,0.0,177.8,182.88,155,0,1,0,2.64,0.33,0.6,3.13,0.36,4,16,95,2,0,3,9,2,5,0,19,1.0,170.18,177.8,155,40,26,SUB,3:01,181.0
1353,Maycee Barber,Montana De La Rosa,-180.0,155.0,2022-04-23,Red,False,Women's Flyweight,0,3,0,1,1,2.9,0.37,0.8,1.85,0.33,3,2,20,0,0,0,1,1,3,0,5,1.0,170.18,172.72,125,0,1,0,4.7,0.53,0.1,1.44,0.43,4,2,17,0,0,1,0,4,0,0,5,,165.1,165.1,125,23,27,U-DEC,5:00,900.0
1354,Lando Vannata,Charles Jourdain,-105.0,-115.0,2022-04-23,Blue,False,Featherweight,1,3,0,1,1,5.48,0.48,0.5,0.35,0.23,1,3,20,0,0,0,1,2,0,0,3,,175.26,175.26,145,0,1,2,4.52,0.45,0.3,1.09,0.37,1,5,28,0,0,1,1,1,1,0,4,1.0,175.26,180.34,155,30,26,SUB,2:32,152.0
1355,Jordan Wright,Marc-Andre Barriault,180.0,-220.0,2022-04-23,Blue,False,Catch Weight,1,3,1,0,0,6.12,0.47,0.1,0.21,0.25,2,4,18,0,0,0,1,1,0,0,2,1.0,185.42,187.96,185,1,0,0,4.1,0.56,0.4,2.09,0.45,1,2,6,0,0,0,0,2,0,0,2,1.0,187.96,195.58,205,30,32,SUB,2:36,156.0
1356,Dwight Grant,Sergey Khandozhko,105.0,-125.0,2022-04-23,Blue,False,Welterweight,1,3,1,0,0,3.41,0.41,0.0,0.76,0.28,1,1,6,0,0,0,1,0,0,0,1,1.0,185.42,187.96,170,1,0,0,3.29,0.36,0.0,0.61,1.0,2,3,16,0,0,2,0,2,0,0,4,,185.42,193.04,185,37,29,KO/TKO,4:15,555.0
1357,Tyson Pedro,Ike Villanueva,-630.0,450.0,2022-04-23,Red,False,Light Heavyweight,1,3,2,0,0,3.66,0.38,0.0,0.6,0.5,1,4,8,0,0,0,0,1,0,0,1,1.0,185.42,185.42,205,2,0,0,2.9,0.59,0.8,0.76,0.3,2,3,10,0,0,0,0,1,2,0,3,1.0,190.5,200.66,205,30,38,KO/TKO,4:55,295.0
1358,Aoriqileng,Cameron Else,-225.0,185.0,2022-04-23,Red,False,Bantamweight,1,3,1,0,0,1.99,0.4,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,,175.26,180.34,135,2,0,0,5.31,0.5,0.0,1.45,0.46,0,2,6,0,0,0,0,0,0,0,0,1.0,170.18,175.26,135,28,34,KO/TKO,2:48,168.0
1359,Preston Parsons,Evan Elder,-150.0,130.0,2022-04-23,Red,False,Welterweight,1,3,0,0,0,5.02,0.49,0.6,0.63,0.2,0,0,0,0,0,0,0,0,0,0,0,,177.8,182.88,155,1,0,0,3.5,0.51,2.4,3.53,0.36,0,1,1,0,0,0,0,0,0,0,0,1.0,180.34,180.34,170,26,25,U-DEC,5:00,900.0
1360,Marcin Prachnio,Philipe Lins,-125.0,105.0,2022-04-23,Blue,False,Light Heavyweight,1,3,2,0,0,3.8,0.49,0.0,1.65,0.33,0,2,4,0,0,0,0,0,0,0,0,1.0,187.96,198.12,205,0,2,0,5.57,0.54,0.0,0.15,0.2,2,3,8,0,0,0,1,1,0,0,2,1.0,190.5,187.96,205,33,36,U-DEC,5:00,900.0
1361,Dean Barry,Mike Jackson,-800.0,550.0,2022-04-23,Blue,False,Welterweight,1,3,1,0,0,4.49,0.57,0.0,0.71,0.33,0,1,4,0,0,0,0,0,0,0,0,1.0,187.96,187.96,170,0,0,0,9.31,0.4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,177.8,182.88,170,29,37,DQ,3:52,232.0
1362,Vicente Luque,Belal Muhammad,-180.0,155.0,2022-04-16,Blue,False,Welterweight,1,5,0,6,0,4.39,0.43,0.2,2.28,0.39,6,3,42,1,0,1,8,1,1,0,11,1.0,180.34,182.88,170,0,4,0,5.07,0.52,0.6,1.0,0.53,6,3,32,0,0,1,0,8,5,0,14,1.0,180.34,190.5,170,30,33,U-DEC,5:00,1500.0
1363,Caio Borralho,Gadzhi Omargadzhiev,100.0,-120.0,2022-04-16,Red,False,Middleweight,1,3,0,1,0,1.8,0.39,0.5,1.35,0.3,1,0,1,0,0,0,0,0,1,0,1,,185.42,180.34,170,0,2,0,3.61,0.6,0.5,1.56,0.6,2,0,4,0,0,0,1,1,0,0,2,0.0,185.42,190.5,185,29,29,U-DEC,3:56,836.0
