,RedFighter,BlueFighter,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,TotalFightTimeSecs,strike_accuracy_Red,takedown_accuracy_Red,connected_strikes_per_minute_Red,absorved_strikes_per_minute_Red,strikes_defense_Red,takedown_defense_Red,takedown_avg_Red,submission_avg_Red,knockdown_avg_Red,avg_fight_time_Red,weight_Red,height_Red,reach_Red,age_Red,win_by_ko_tko_win_Red,win_by_ko_tko_win_percent_Red,win_by_dec_win_Red,win_by_dec_win_percent_Red,win_by_sub_win_Red,win_by_sub_win_percent_Red,strike_accuracy_Blue,takedown_accuracy_Blue,connected_strikes_per_minute_Blue,absorved_strikes_per_minute_Blue,strikes_defense_Blue,takedown_defense_Blue,takedown_avg_Blue,submission_avg_Blue,knockdown_avg_Blue,avg_fight_time_Blue,weight_Blue,height_Blue,reach_Blue,age_Blue,win_by_ko_tko_win_Blue,win_by_ko_tko_win_percent_Blue,win_by_dec_win_Blue,win_by_dec_win_percent_Blue,win_by_sub_win_Blue,win_by_sub_win_percent_Blue
4850,michael chiesa,francisco trinaldo,Red,False,Lightweight,1,3,0,1,0,26.6667,0.565,0.6667,0.8333,0.317,2,2,12,0,0,1,0,1,2,0,4,0.0,175.26,177.8,155,0,1,0,11.25,0.378,1.25,1.25,0.358,2,1,7,1,0,0,0,0,3,0,3,0.0,185.42,190.5,170,26,35,U-DEC,900.0,0.4,0.49,1.81,1.66,0.55,0.62,3.3,1.05,0.08,9.33,170.5,73.0,75.5,37.0,0.0,0.0,7.0,0.35,13.0,0.65,0.45,0.42,3.13,2.67,0.61,0.6,0.98,0.51,0.23,12.38,170.0,69.0,70.0,44.0,9.0,0.32,14.0,0.5,5.0,0.18
4851,tony ferguson,katsunori kikuno,Red,False,Lightweight,1,3,0,1,0,23.0,0.47,0.0,3.0,0.75,1,0,3,0,0,0,1,0,0,0,1,1.0,172.72,167.64,145,0,1,0,32.6,0.352,0.4,0.6,0.332,3,1,9,1,0,0,1,1,1,1,4,1.0,180.34,193.04,155,30,32,KO/TKO,246.0,0.46,0.35,4.91,4.37,0.55,0.66,0.39,0.88,0.17,11.32,170.0,71.0,76.5,40.0,13.0,0.5,5.0,0.19,8.0,0.31,0.4,0.75,2.64,2.47,0.62,0.77,1.88,0.84,0.21,7.17,145.0,68.0,66.0,41.0,12.0,0.52,8.0,0.35,3.0,0.13
4852,chris holdsworth,chico camus,Red,False,Bantamweight,1,3,1,0,0,23.75,0.503,0.75,1.25,0.498,1,2,12,0,0,0,2,0,0,0,2,1.0,167.64,167.64,125,0,1,0,15.0,0.3,1.0,1.0,0.5,1,0,2,1,0,0,0,0,1,0,1,1.0,180.34,180.34,135,26,29,U-DEC,900.0,0.3,0.63,1.85,1.94,0.58,1.0,3.38,2.03,0.0,11.08,135.0,71.0,71.0,35.0,0.0,0.0,1.0,0.14,6.0,0.86,0.41,0.4,2.58,2.46,0.65,0.72,0.77,0.39,0.0,14.6,126.5,66.0,66.0,38.0,5.0,0.33,8.0,0.53,2.0,0.13
4853,al iaquinta,mitch clarke,Blue,False,Lightweight,1,3,0,1,0,21.3333,0.253,0.3333,1.0,0.123,1,2,8,0,0,0,1,0,0,0,1,1.0,177.8,185.42,155,0,3,0,55.5,0.445,0.25,1.5,0.313,3,1,10,1,0,0,3,0,0,0,3,1.0,177.8,177.8,155,27,28,SUB,357.0,0.41,0.19,4.06,4.53,0.61,0.74,0.63,0.24,0.55,12.7,155.8,70.0,70.0,36.0,7.0,0.5,6.0,0.43,1.0,0.07,0.34,0.15,2.35,3.27,0.48,0.5,0.64,0.43,0.0,10.08,155.5,70.0,73.0,37.0,1.0,0.09,3.0,0.27,7.0,0.64
4854,anthony njokuani,vinc pichel,Blue,False,Lightweight,1,3,0,1,0,22.0,0.27,0.5,4.0,0.33,1,1,4,0,0,0,1,0,0,0,1,1.0,177.8,182.88,155,0,1,0,60.5,0.46,0.1667,0.5,0.277,1,3,17,0,0,0,2,1,0,0,3,1.0,185.42,190.5,155,34,31,U-DEC,900.0,0.46,0.45,3.94,2.41,0.65,0.53,0.5,0.2,0.6,9.92,155.0,73.0,75.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.54,3.62,3.05,0.56,0.25,2.78,0.22,0.11,12.27,166.6,70.0,72.0,41.0,8.0,0.57,6.0,0.43,0.0,0.0
4855,sam sicilia,aaron phillips,Red,False,Featherweight,1,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,175.26,177.8,135,1,0,0,24.6,0.398,0.2,0.6,0.428,1,3,10,0,0,0,0,2,0,0,2,1.0,172.72,170.18,145,28,24,U-DEC,900.0,0.34,0.43,2.46,3.55,0.59,0.7,1.45,0.87,0.14,8.65,144.0,68.0,67.0,37.0,8.0,0.53,3.0,0.2,4.0,0.27,0.53,0.5,1.51,3.66,0.44,0.44,0.86,0.57,0.0,13.12,136.0,69.0,71.0,33.0,6.0,0.5,4.0,0.33,2.0,0.17
4856,david michaud,li jingliang,Blue,False,Welterweight,1,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.0,182.88,180.34,170,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1.0,175.26,182.88,155,25,26,,,0.43,0.58,3.25,4.45,0.54,0.77,2.53,0.72,0.0,13.87,156.0,69.0,72.0,34.0,3.0,0.38,2.0,0.25,3.0,0.38,0.42,0.42,4.46,3.95,0.57,0.6,1.19,0.0,0.79,10.53,171.0,72.0,71.5,36.0,10.0,0.53,5.0,0.26,4.0,0.21
4857,matt brown,erick silva,Red,False,Welterweight,1,5,0,1,0,12.4286,0.569,0.7143,0.2857,0.094,1,3,10,0,0,0,0,2,2,0,4,1.0,182.88,187.96,170,0,6,0,29.75,0.581,1.125,0.9375,0.404,6,5,34,0,0,0,2,8,1,0,11,1.0,182.88,190.5,170,33,29,KO/TKO,731.0,0.55,0.47,3.76,2.92,0.55,0.64,1.68,1.3,0.6,9.22,170.0,72.0,75.0,42.0,17.0,0.65,2.0,0.08,7.0,0.27,0.49,0.35,2.5,4.18,0.5,0.57,0.85,1.41,0.42,7.07,170.5,71.0,74.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
4858,costas philippou,lorenz larkin,Red,False,Middleweight,1,3,1,0,0,39.0,0.37,0.0,0.0,0.0,1,2,9,0,0,0,1,0,0,0,1,1.0,180.34,182.88,170,2,0,0,27.5,0.374,0.25,0.375,0.208,5,3,20,0,0,1,2,2,0,0,5,1.0,180.34,185.42,185,34,27,,,0.35,0.43,2.19,2.73,0.54,0.66,0.4,0.27,0.67,11.17,186.0,71.0,73.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.43,3.53,2.74,0.64,0.79,0.27,0.09,0.54,11.2,170.8,71.0,72.0,36.0,11.0,0.61,7.0,0.39,0.0,0.0
4859,erik koch,daron cruickshank,Blue,False,Lightweight,1,3,0,1,0,36.3333,0.403,0.1667,0.8333,0.3,2,2,15,0,0,1,1,2,0,0,4,,172.72,182.88,155,0,1,0,21.8,0.404,1.0,0.0,0.0,2,2,10,0,0,0,1,2,0,0,3,0.0,177.8,180.34,155,25,28,KO/TKO,201.0,0.42,0.43,2.33,2.82,0.47,0.82,1.02,1.02,0.34,9.47,170.5,70.0,71.5,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.42,2.88,2.98,0.57,0.6,2.04,0.23,0.57,10.18,155.0,68.0,72.0,38.0,9.0,0.56,6.0,0.38,1.0,0.06
