,RedFighter,BlueFighter,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,TotalFightTimeSecs,strike_accuracy_Red,takedown_accuracy_Red,connected_strikes_per_minute_Red,absorved_strikes_per_minute_Red,strikes_defense_Red,takedown_defense_Red,takedown_avg_Red,submission_avg_Red,knockdown_avg_Red,avg_fight_time_Red,weight_Red,height_Red,reach_Red,age_Red,win_by_ko_tko_win_Red,win_by_ko_tko_win_percent_Red,win_by_dec_win_Red,win_by_dec_win_percent_Red,win_by_sub_win_Red,win_by_sub_win_percent_Red,strike_accuracy_Blue,takedown_accuracy_Blue,connected_strikes_per_minute_Blue,absorved_strikes_per_minute_Blue,strikes_defense_Blue,takedown_defense_Blue,takedown_avg_Blue,submission_avg_Blue,knockdown_avg_Blue,avg_fight_time_Blue,weight_Blue,height_Blue,reach_Blue,age_Blue,win_by_ko_tko_win_Blue,win_by_ko_tko_win_percent_Blue,win_by_dec_win_Blue,win_by_dec_win_percent_Blue,win_by_sub_win_Blue,win_by_sub_win_percent_Blue
0,alexandre pantoja,kai asakura,Red,True,Flyweight,1,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,172.72,175.26,125,0,6,0,4.41,0.49,0.8,2.61,0.47,6,3,42,3,0,2,4,2,4,0,12,1.0,165.1,170.18,125,34,31,SUB,425.0,0.5,0.47,4.41,3.92,0.5,0.68,2.74,0.89,0.3,12.65,124.5,65.0,67.0,34.0,8.0,0.28,10.0,0.34,11.0,0.38,0.59,0.21,2.4,4.52,0.38,0.57,0.0,0.0,0.0,7.08,124.5,68.0,69.0,31.0,13.0,0.62,5.0,0.24,3.0,0.14
1,shavkat rakhmonov,ian machado garry,Red,False,Welterweight,1,3,0,8,0,5.5,0.55,0.3,0.77,0.55,8,0,20,0,0,1,4,3,0,0,8,1.0,190.5,187.96,170,0,6,0,4.12,0.61,1.8,1.49,0.29,6,0,11,0,0,0,0,1,5,0,6,1.0,185.42,195.58,170,30,27,U-DEC,1500.0,0.6,0.26,3.25,2.17,0.51,0.86,1.4,1.2,0.2,10.73,171.0,73.0,77.0,30.0,8.0,0.42,1.0,0.05,10.0,0.53,0.55,0.52,4.72,2.82,0.74,0.49,0.49,0.0,0.0,13.35,170.0,73.0,74.0,25.0,7.0,0.47,7.0,0.47,1.0,0.07
2,ciryl gane,alexander volkov,Red,False,Heavyweight,1,3,0,4,0,5.13,0.57,0.2,0.45,0.63,4,4,44,0,0,1,4,6,1,0,12,1.0,200.66,203.2,250,0,1,0,5.49,0.6,0.5,0.58,0.21,7,2,33,3,0,0,3,4,2,0,9,1.0,193.04,205.74,245,34,36,S-DEC,900.0,0.61,0.25,5.26,2.23,0.62,0.44,0.7,0.61,0.26,14.25,245.5,76.0,81.0,34.0,6.0,0.46,4.0,0.31,3.0,0.23,0.57,0.67,4.97,2.99,0.54,0.72,0.61,0.24,0.24,12.95,254.5,79.0,80.0,36.0,24.0,0.63,10.0,0.26,4.0,0.11
3,bryce mitchell,kron gracie,Red,False,Featherweight,1,3,2,0,0,3.74,0.44,0.5,0.47,0.25,1,2,7,0,0,0,0,0,1,0,1,0.0,175.26,177.8,145,1,0,0,2.3,0.58,1.6,3.45,0.41,6,2,22,0,1,0,5,0,1,0,7,0.0,177.8,177.8,145,30,36,KO/TKO,639.0,0.6,0.43,2.31,1.53,0.6,0.33,3.39,1.43,0.13,11.52,146.0,70.0,70.0,30.0,1.0,0.06,7.0,0.41,9.0,0.53,0.42,0.25,2.95,5.73,0.52,0.61,0.35,0.7,0.0,10.68,144.5,69.0,70.0,36.0,0.0,0.0,0.0,0.0,5.0,1.0
4,nate landwehr,dooho choi,Blue,False,Featherweight,1,3,0,1,1,4.41,0.53,0.8,0.75,0.37,3,3,15,0,0,0,0,4,0,0,4,1.0,177.8,177.8,145,0,1,0,6.25,0.46,1.0,1.0,0.41,3,3,17,0,1,0,1,1,2,0,5,1.0,175.26,182.88,145,36,33,KO/TKO,801.0,0.46,0.42,5.59,5.77,0.53,0.74,0.85,0.85,0.17,9.8,145.5,69.0,72.0,36.0,9.0,0.5,7.0,0.39,2.0,0.11,0.56,0.54,4.67,4.02,0.56,0.48,1.43,0.61,0.81,8.18,146.0,70.0,70.0,33.0,13.0,0.81,2.0,0.13,1.0,0.06
5,dominick reyes,anthony smith,Red,False,Light Heavyweight,1,3,1,0,0,3.24,0.49,0.6,0.46,0.26,3,12,63,1,0,1,1,7,6,0,15,1.0,193.04,193.04,205,0,1,0,4.87,0.5,0.3,0.35,0.28,6,4,21,2,0,1,1,4,1,0,7,0.0,193.04,195.58,205,34,36,KO/TKO,586.0,0.54,0.29,5.64,3.59,0.49,0.83,0.31,0.31,0.94,8.0,205.0,76.0,77.0,35.0,9.0,0.64,3.0,0.21,2.0,0.14,0.49,0.24,3.2,4.88,0.45,0.5,0.44,0.61,0.39,9.85,205.5,76.0,76.0,36.0,19.0,0.5,4.0,0.11,15.0,0.39
6,vicente luque,themba gorimbo,Red,False,Welterweight,1,3,0,4,0,3.11,0.61,0.6,4.89,0.65,4,1,12,0,0,0,3,1,0,0,4,1.0,185.42,195.58,170,1,0,0,5.07,0.52,0.6,1.0,0.53,6,6,47,0,0,1,1,8,5,0,15,1.0,180.34,190.5,170,33,33,SUB,52.0,0.52,0.54,5.05,5.22,0.53,0.63,0.99,0.71,0.71,9.62,170.5,71.0,75.5,33.0,11.0,0.48,3.0,0.13,9.0,0.39,0.61,0.65,3.15,1.09,0.57,0.82,4.81,0.57,0.57,8.83,171.0,73.0,77.0,34.0,2.0,0.14,6.0,0.43,6.0,0.43
7,movsar evloev,aljamain sterling,Red,False,Featherweight,1,3,0,1,0,4.61,0.52,0.7,2.31,0.27,9,4,57,5,0,2,7,2,4,0,16,1.0,170.18,180.34,145,0,8,0,4.43,0.48,0.2,4.75,0.46,8,0,24,0,0,1,7,0,0,0,8,1.0,170.18,182.88,145,30,35,U-DEC,900.0,0.48,0.48,3.99,2.66,0.61,0.61,4.67,0.22,0.0,15.0,145.5,67.0,72.5,31.0,3.0,0.16,12.0,0.63,4.0,0.21,0.52,0.3,4.41,2.21,0.59,0.43,2.51,0.69,0.0,13.37,145.5,67.0,71.0,35.0,3.0,0.13,13.0,0.54,8.0,0.33
8,randy brown,bryan battle,Blue,False,Welterweight,1,3,0,3,0,5.44,0.53,0.5,0.96,0.23,3,1,16,0,0,0,1,3,2,0,6,1.0,185.42,195.58,170,0,3,0,4.38,0.47,0.6,0.72,0.39,4,5,43,0,0,1,6,3,3,0,13,1.0,190.5,198.12,170,34,30,S-DEC,900.0,0.47,0.39,4.35,3.24,0.54,0.73,0.81,0.59,0.37,10.68,171.0,75.0,78.0,34.0,7.0,0.37,7.0,0.37,5.0,0.26,0.53,0.17,5.12,4.11,0.44,0.54,0.77,0.39,0.39,8.62,175.0,73.0,77.0,30.0,4.0,0.31,3.0,0.23,6.0,0.46
9,chris weidman,eryk anders,Blue,False,Catch Weight,1,3,0,1,0,3.41,0.47,0.1,1.79,0.26,2,8,44,0,0,1,3,4,0,0,8,0.0,185.42,190.5,185,0,1,0,3.18,0.45,0.8,3.44,0.42,9,7,46,5,0,0,5,4,3,0,12,1.0,187.96,198.12,185,40,37,KO/TKO,591.0,0.45,0.42,3.11,3.37,0.51,0.72,3.27,0.82,0.37,10.08,194.5,74.0,78.0,40.0,6.0,0.38,6.0,0.38,4.0,0.25,0.48,0.25,3.54,4.05,0.51,0.8,1.71,0.07,0.48,12.18,193.0,73.0,75.0,37.0,10.0,0.59,6.0,0.35,1.0,0.06
10,cody durden,joshua van,Blue,False,Flyweight,1,3,0,1,0,8.39,0.53,0.0,1.62,0.63,3,1,14,0,0,1,2,1,0,0,4,1.0,165.1,165.1,125,0,1,1,3.35,0.5,0.9,4.36,0.5,4,4,24,0,0,0,4,1,1,0,6,0.0,170.18,170.18,125,33,23,U-DEC,900.0,0.46,0.48,3.52,4.29,0.49,0.73,4.06,0.76,0.13,9.85,126.0,67.0,67.0,33.0,6.0,0.35,5.0,0.29,6.0,0.35,0.54,0.64,8.88,5.82,0.6,0.81,1.32,0.0,0.19,13.32,126.0,65.0,65.0,23.0,6.0,0.5,4.0,0.33,2.0,0.17
11,michael chiesa,max griffin,Red,False,Welterweight,1,3,0,1,0,3.92,0.49,0.3,1.45,0.41,3,8,44,0,1,2,2,3,0,0,8,1.0,180.34,193.04,170,0,1,0,1.86,0.4,1.0,3.35,0.51,4,7,41,1,0,0,5,0,7,0,12,0.0,185.42,190.5,170,37,39,SUB,716.0,0.4,0.49,1.81,1.66,0.55,0.62,3.3,1.05,0.08,9.33,170.5,73.0,75.5,37.0,0.0,0.0,7.0,0.35,13.0,0.65,0.49,0.41,3.75,3.66,0.58,0.7,1.37,0.27,0.55,12.92,170.0,71.0,76.0,39.0,9.0,0.47,8.0,0.42,2.0,0.11
12,clay guida,chase hooper,Blue,False,Lightweight,1,3,0,3,0,5.08,0.52,2.3,1.45,0.24,3,3,23,0,0,0,2,2,3,0,7,0.0,185.42,187.96,155,2,0,0,2.64,0.33,0.6,3.13,0.36,4,19,105,2,0,4,9,2,5,0,20,1.0,170.18,177.8,155,42,25,SUB,221.0,0.34,0.36,2.63,3.0,0.61,0.66,3.1,0.61,0.18,12.2,155.0,67.0,70.0,43.0,7.0,0.18,17.0,0.45,14.0,0.37,0.52,0.28,4.97,3.26,0.37,0.58,1.83,2.39,0.14,9.7,155.5,73.0,74.0,25.0,4.0,0.27,3.0,0.2,8.0,0.53
13,kennedy nzechukwu,lukasz brzeski,Red,False,Heavyweight,1,3,1,0,0,4.9,0.5,0.5,0.46,0.5,1,4,14,0,0,0,1,0,1,0,2,1.0,193.04,198.12,236,0,1,0,5.34,0.47,0.2,0.58,0.45,3,5,31,0,0,1,1,6,1,0,9,0.0,195.58,210.82,205,32,32,KO/TKO,291.0,0.47,0.45,5.37,4.89,0.51,0.81,0.56,0.22,0.45,8.95,236.5,77.0,83.0,32.0,10.0,0.71,3.0,0.21,1.0,0.07,0.5,0.33,5.02,3.68,0.55,0.37,0.43,0.43,0.0,10.02,234.0,75.0,78.0,32.0,6.0,0.67,2.0,0.22,1.0,0.11
14,petr yan,deiveson figueiredo,Red,False,Bantamweight,1,5,0,3,1,2.91,0.54,1.4,1.62,0.34,5,3,44,6,0,1,4,4,4,0,13,1.0,165.1,172.72,135,0,1,0,5.11,0.54,0.1,1.61,0.49,7,4,45,4,0,0,5,4,0,0,9,,170.18,170.18,135,31,36,U-DEC,1500.0,0.54,0.49,5.11,4.13,0.59,0.85,1.61,0.12,0.62,17.28,135.5,67.5,67.0,32.0,7.0,0.39,10.0,0.56,1.0,0.06,0.54,0.35,2.91,3.55,0.5,0.6,1.62,1.43,0.78,12.83,135.0,65.0,68.0,37.0,9.0,0.38,6.0,0.25,9.0,0.38
15,yan xiaonan,tabatha ricci,Red,False,Women's Strawweight,0,3,0,2,0,4.18,0.36,0.1,2.74,0.37,4,2,22,0,0,1,4,0,1,0,6,1.0,154.94,154.94,115,1,0,0,4.99,0.45,0.0,0.92,0.73,6,3,34,1,1,0,6,1,0,0,8,1.0,165.1,160.02,115,35,29,U-DEC,900.0,0.45,0.73,4.99,3.44,0.6,0.63,0.92,0.0,0.17,15.03,116.0,65.0,63.0,35.0,8.0,0.42,10.0,0.53,1.0,0.05,0.36,0.38,4.18,5.29,0.58,0.82,2.74,0.12,0.0,13.37,115.5,61.0,61.0,29.0,1.0,0.09,7.0,0.64,3.0,0.27
16,song kenan,muslim salikhov,Blue,False,Welterweight,1,3,0,1,0,3.38,0.49,0.0,1.08,0.32,5,4,26,0,0,2,2,3,0,0,7,1.0,180.34,177.8,170,0,1,0,4.49,0.46,0.0,0.42,0.3,2,4,23,0,0,0,3,3,0,0,6,1.0,182.88,180.34,170,34,40,KO/TKO,229.0,0.47,0.3,4.49,5.82,0.51,0.74,0.42,0.0,0.7,9.8,170.0,72.0,71.5,34.0,9.0,0.41,4.0,0.18,9.0,0.41,0.5,0.32,3.38,2.9,0.63,0.72,1.08,0.0,0.48,10.4,170.5,71.0,70.0,40.0,14.0,0.67,5.0,0.24,2.0,0.1
17,wang cong,gabriella fernandes,Blue,False,Women's Flyweight,0,3,0,1,0,3.46,0.46,0.3,0.56,0.18,1,2,9,0,0,1,0,0,0,0,1,0.0,167.64,167.64,125,0,2,0,5.81,0.46,2.3,1.16,0.5,2,0,2,0,0,0,0,1,1,0,2,0.0,167.64,167.64,125,32,31,SUB,529.0,0.52,0.75,6.38,1.86,0.62,1.0,1.61,1.07,0.54,6.98,125.0,66.0,65.5,32.0,2.0,0.29,3.0,0.43,2.0,0.29,0.47,0.18,3.46,5.5,0.5,0.61,0.56,0.28,0.28,13.45,126.0,66.0,66.0,31.0,3.0,0.3,4.0,0.4,3.0,0.3
18,volkan oezdemir,carlos ulberg,Blue,False,Light Heavyweight,1,3,0,6,0,7.2,0.56,0.2,0.72,0.75,6,1,13,0,0,0,1,5,1,0,7,1.0,193.04,195.58,205,0,2,0,4.95,0.48,0.1,0.5,0.29,3,6,31,1,0,2,1,4,1,0,8,1.0,187.96,190.5,205,35,34,U-DEC,900.0,0.49,0.29,4.95,4.22,0.55,0.8,0.5,0.1,0.6,9.95,206.0,74.0,75.0,35.0,13.0,0.65,5.0,0.25,2.0,0.1,0.57,0.75,7.2,4.27,0.51,0.83,0.72,0.24,1.44,6.95,205.5,76.0,77.0,34.0,7.0,0.58,3.0,0.25,2.0,0.17
19,zhang mingyang,ozzy diaz,Red,False,Light Heavyweight,1,3,1,0,0,2.21,0.43,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,1.0,193.04,200.66,205,0,2,0,8.57,0.55,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,1.0,187.96,190.5,205,26,34,KO/TKO,145.0,0.56,0.33,8.57,5.59,0.54,0.74,0.0,0.0,5.59,2.68,205.0,74.0,75.5,26.0,12.0,0.67,0.0,0.0,6.0,0.33,0.43,0.0,2.21,4.74,0.47,0.55,0.0,0.0,0.0,4.53,205.0,76.0,79.0,34.0,7.0,0.78,0.0,0.0,2.0,0.22
20,kiru sahota,donghun choi,Blue,False,Flyweight,1,3,0,2,0,4.54,0.66,0.0,0.46,0.14,2,0,6,0,0,2,0,0,0,0,2,,165.1,167.64,125,0,2,0,4.05,0.52,0.5,0.92,0.33,2,0,6,0,0,1,1,0,0,0,2,1.0,177.8,185.42,125,29,25,KO/TKO,156.0,,,,,,,,,,,,,,,,,,,,,0.66,0.14,4.54,3.13,0.59,0.82,0.46,0.0,0.92,10.87,125.5,66.2,67.05,26.0,3.0,0.38,5.0,0.63,0.0,0.0
21,nyamjargal tumendemberel,carlos hernandez,Blue,False,Flyweight,1,3,2,0,0,3.9,0.45,0.2,1.6,0.21,2,3,15,0,0,2,1,0,0,0,3,1.0,172.72,170.18,125,0,2,0,3.13,0.38,2.4,2.42,0.31,2,0,4,0,0,1,0,0,1,0,2,1.0,170.18,180.34,125,26,31,S-DEC,900.0,0.39,0.31,3.13,3.29,0.52,0.52,2.42,2.42,0.97,10.35,125.0,67.0,71.0,26.0,2.0,0.25,1.0,0.13,5.0,0.63,0.46,0.21,3.9,3.43,0.51,0.68,1.6,0.18,0.0,12.02,125.5,68.0,67.0,31.0,0.0,0.0,6.0,0.6,4.0,0.4
22,lone'er kavanagh,jose ochoa,Red,False,Flyweight,1,3,0,0,0,3.33,0.31,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,170.18,170.18,125,0,1,0,3.62,0.43,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,1.0,162.56,170.18,125,25,23,U-DEC,900.0,,,,,,,,,,,,,,,,,,,,,0.32,0.0,3.33,3.4,0.6,1.0,0.0,1.0,0.0,15.0,125.0,67.0,69.35,24.0,6.0,0.86,0.0,0.0,1.0,0.14
23,xiao long,quang le,Red,False,Bantamweight,1,3,1,0,0,3.02,0.35,0.0,1.7,0.23,0,1,3,0,0,0,0,0,0,0,0,1.0,167.64,177.8,135,1,0,0,5.4,0.5,0.0,0.84,0.25,2,2,12,0,1,1,0,0,0,0,2,1.0,172.72,177.8,135,26,33,KO/TKO,688.0,0.5,0.25,5.4,4.27,0.51,0.77,0.84,0.0,0.21,14.3,135.0,68.0,70.0,26.0,5.0,0.19,13.0,0.48,9.0,0.33,0.36,0.23,3.02,5.52,0.46,1.0,1.7,0.0,0.0,13.23,136.0,66.5,70.0,33.0,2.0,0.25,3.0,0.38,3.0,0.38
24,maheshate,nikolas motta,Blue,False,Lightweight,1,3,0,1,0,3.64,0.37,0.0,0.0,0.0,1,2,11,0,0,0,1,2,0,0,3,1.0,175.26,177.8,155,0,1,0,3.86,0.29,0.0,0.0,0.0,2,2,12,0,0,1,1,1,0,0,3,1.0,182.88,180.34,155,24,31,U-DEC,900.0,0.29,0.0,3.86,5.64,0.54,0.45,0.0,0.0,0.44,11.48,155.5,72.0,71.5,25.0,4.0,0.4,5.0,0.5,1.0,0.1,0.37,0.46,3.64,4.5,0.56,0.82,0.0,0.0,1.06,8.12,155.0,69.0,70.5,31.0,10.0,0.67,5.0,0.33,0.0,0.0
25,jon jones,stipe miocic,Red,True,Heavyweight,1,5,1,0,0,4.67,0.52,0.0,1.74,0.34,6,4,46,8,0,0,5,9,0,0,14,1.0,193.04,203.2,240,0,18,0,4.38,0.58,0.5,1.89,0.45,18,1,74,16,0,1,9,5,6,0,21,1.0,193.04,213.36,248,37,42,KO/TKO,869.0,0.59,0.46,4.38,2.24,0.64,0.95,1.89,0.46,0.25,14.87,237.6,76.0,84.5,37.0,11.0,0.39,10.0,0.36,7.0,0.25,0.53,0.34,4.67,4.01,0.52,0.65,1.74,0.0,0.49,11.35,248.6,77.0,80.0,42.0,15.0,0.75,5.0,0.25,0.0,0.0
26,charles oliveira,michael chandler,Red,False,Lightweight,1,3,1,0,0,4.49,0.5,0.6,1.59,0.37,3,3,14,1,0,0,0,3,1,0,4,1.0,172.72,180.34,155,1,0,0,3.4,0.55,2.7,2.25,0.4,11,10,63,3,0,0,2,4,16,0,22,1.0,177.8,187.96,155,35,38,U-DEC,1500.0,0.55,0.4,3.4,3.21,0.49,0.56,2.25,2.66,0.46,7.63,155.6,70.0,74.0,35.0,10.0,0.29,4.0,0.11,21.0,0.6,0.5,0.37,4.49,4.3,0.43,0.63,1.59,0.64,0.48,9.3,155.6,68.0,71.5,38.0,11.0,0.48,5.0,0.22,7.0,0.3
27,bo nickal,paul craig,Red,False,Middleweight,1,3,2,0,1,2.52,0.44,1.4,1.52,0.2,4,8,34,0,0,0,0,3,6,0,9,1.0,190.5,193.04,185,0,5,0,2.65,0.63,3.6,3.61,0.5,5,0,6,0,0,0,0,1,4,0,5,0.0,185.42,193.04,185,28,36,U-DEC,900.0,0.63,0.5,2.65,1.86,0.65,0.63,3.61,3.61,0.52,4.85,185.4,73.0,76.0,29.0,2.0,0.29,1.0,0.14,4.0,0.57,0.45,0.21,2.52,3.03,0.43,0.38,1.52,1.42,0.09,8.33,186.0,75.5,76.0,37.0,4.0,0.24,0.0,0.0,13.0,0.76
28,viviane araujo,karine silva,Red,False,Women's Flyweight,0,3,0,5,0,3.04,0.38,1.9,2.79,0.5,5,0,8,0,0,0,1,0,4,0,5,1.0,165.1,170.18,125,1,0,0,4.04,0.47,0.7,1.86,0.43,2,5,35,0,0,0,5,1,0,0,6,1.0,162.56,172.72,125,37,30,U-DEC,900.0,,,,,,,,,,,,,,,,,,,,,0.39,0.5,3.04,3.14,0.48,0.69,2.79,1.86,0.31,8.07,125.8,65.0,67.0,31.0,9.0,0.5,1.0,0.06,8.0,0.44
29,mauricio ruffy,james llontop,Red,False,Catch Weight,1,3,2,0,0,5.57,0.41,0.0,0.0,0.0,1,2,7,0,0,0,1,0,0,0,1,1.0,182.88,185.42,155,0,2,0,4.7,0.59,0.0,0.0,0.0,2,0,4,0,0,0,0,2,0,0,2,1.0,180.34,190.5,155,28,25,U-DEC,900.0,0.59,0.0,4.7,4.76,0.61,1.0,0.0,0.0,0.87,11.48,164.4,71.0,75.0,28.0,10.0,0.91,1.0,0.09,0.0,0.0,0.42,0.0,5.57,4.12,0.58,0.55,0.0,0.0,0.61,12.38,166.2,72.0,73.0,25.0,7.0,0.5,6.0,0.43,1.0,0.07
30,jonathan martinez,marcus mcghee,Blue,False,Bantamweight,1,3,0,3,0,6.06,0.48,0.5,0.46,0.33,3,0,5,0,0,0,0,2,1,0,3,1.0,172.72,175.26,135,1,0,0,4.44,0.49,0.1,0.38,0.35,6,4,39,0,0,0,6,4,0,0,10,0.0,172.72,177.8,135,30,34,U-DEC,900.0,0.5,0.36,4.44,4.09,0.57,0.68,0.38,0.08,0.68,13.32,135.8,68.0,70.0,30.0,9.0,0.47,8.0,0.42,2.0,0.11,0.48,0.33,6.06,2.83,0.65,1.0,0.46,0.46,1.37,8.22,135.6,68.0,69.0,34.0,8.0,0.8,1.0,0.1,1.0,0.1
31,jim miller,damon jackson,Red,False,Lightweight,1,3,1,0,1,2.96,0.42,1.2,2.3,0.32,4,5,30,0,0,1,2,1,2,0,6,,180.34,180.34,155,1,0,0,2.99,0.42,1.7,1.52,0.44,7,17,99,0,0,2,6,6,12,0,26,0.0,172.72,180.34,155,41,36,SUB,164.0,0.42,0.44,2.99,3.51,0.57,0.49,1.52,1.69,0.21,9.65,155.6,68.0,71.0,41.0,7.0,0.18,10.0,0.26,21.0,0.55,0.43,0.33,2.96,3.47,0.49,0.38,2.3,1.2,0.0,9.8,155.2,71.0,71.0,36.0,4.0,0.17,4.0,0.17,15.0,0.65
32,david onama,roberto romero,Red,False,Lightweight,1,3,0,0,0,4.93,0.47,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,172.72,177.8,155,0,2,0,5.6,0.5,0.6,0.73,0.2,2,2,14,0,0,0,1,2,1,0,4,1.0,180.34,187.96,145,30,24,U-DEC,900.0,0.5,0.2,5.6,5.07,0.52,0.53,0.73,0.55,0.73,11.68,155.6,71.0,74.0,30.0,7.0,0.54,2.0,0.15,4.0,0.31,0.48,0.29,4.93,8.07,0.43,0.67,0.0,0.0,1.0,15.0,155.0,68.0,71.35,25.0,3.0,0.38,3.0,0.38,2.0,0.25
33,marcin tybura,jhonata diniz,Red,False,Heavyweight,1,3,0,3,0,3.36,0.53,0.0,0.0,0.0,3,0,6,0,0,0,1,2,0,0,3,1.0,193.04,200.66,254,1,0,0,3.57,0.49,0.1,1.42,0.33,5,8,49,0,1,0,6,4,1,0,12,1.0,190.5,198.12,249,39,33,KO/TKO,600.0,0.49,0.33,3.57,3.26,0.55,0.77,1.42,0.13,0.06,11.07,251.0,75.0,78.0,39.0,10.0,0.38,9.0,0.35,7.0,0.27,0.53,0.49,3.36,2.96,0.5,0.69,0.0,0.0,1.27,8.87,253.2,76.0,79.5,33.0,7.0,0.88,1.0,0.13,0.0,0.0
34,mickey gall,ramiz brahimaj,Blue,False,Welterweight,1,3,1,0,0,2.26,0.44,1.5,1.51,0.35,1,3,11,0,0,0,0,0,2,0,2,1.0,177.8,182.88,170,3,0,0,3.5,0.49,1.6,1.15,0.32,3,6,24,0,0,0,1,0,5,0,6,,187.96,187.96,170,32,31,KO/TKO,175.0,0.5,0.32,3.5,4.72,0.5,0.38,1.15,1.58,0.29,8.05,170.8,74.0,74.0,33.0,0.0,0.0,1.0,0.14,6.0,0.86,0.45,0.36,2.26,4.04,0.44,0.44,1.51,1.51,0.3,8.27,170.2,70.0,72.0,32.0,1.0,0.09,0.0,0.0,10.0,0.91
35,bassil hafez,oban elliott,Blue,False,Welterweight,1,3,0,3,0,4.26,0.49,0.0,2.16,0.5,3,0,9,0,1,0,2,0,0,0,3,1.0,182.88,182.88,170,0,1,0,3.71,0.38,0.0,2.21,0.24,1,1,6,0,0,0,1,0,0,0,1,1.0,180.34,182.88,170,32,26,KO/TKO,640.0,0.38,0.24,3.71,5.68,0.42,0.5,2.21,0.0,0.0,13.55,171.0,71.0,72.0,32.0,1.0,0.13,3.0,0.38,4.0,0.5,0.49,0.5,4.26,2.25,0.63,0.73,2.16,0.0,0.27,13.92,170.0,72.0,72.0,27.0,3.0,0.25,6.0,0.5,3.0,0.25
36,veronica hardy,eduarda moura,Blue,False,Women's Flyweight,0,3,1,0,0,2.6,0.49,0.4,4.37,0.35,2,1,6,0,0,0,0,1,1,0,2,1.0,167.64,167.64,125,0,3,0,3.12,0.45,0.3,0.93,0.41,3,4,21,0,0,1,2,0,1,0,4,0.0,162.56,162.56,125,29,30,U-DEC,900.0,0.45,0.41,3.12,3.48,0.49,0.56,0.93,0.27,0.0,12.48,125.8,64.0,64.0,29.0,1.0,0.11,6.0,0.67,2.0,0.22,0.5,0.35,2.6,2.45,0.53,1.0,4.37,0.36,0.0,10.32,125.2,66.0,67.0,30.0,4.0,0.36,2.0,0.18,5.0,0.45
37,neil magny,carlos prates,Blue,False,Welterweight,1,5,0,4,0,4.39,0.57,0.0,0.44,1.0,4,0,7,0,0,0,0,4,0,0,4,,185.42,198.12,170,1,0,0,3.43,0.46,0.2,2.12,0.38,7,11,88,0,0,4,10,6,2,0,22,1.0,190.5,203.2,170,37,31,KO/TKO,290.0,0.46,0.39,3.43,2.48,0.52,0.54,2.12,0.25,0.07,12.27,171.0,75.0,80.0,37.0,8.0,0.28,17.0,0.59,4.0,0.14,0.57,1.0,4.39,4.6,0.49,0.92,0.44,0.0,3.54,6.78,170.5,73.0,78.0,31.0,16.0,0.76,2.0,0.1,3.0,0.14
38,gerald meerschaert,reinier de ridder,Blue,False,Middleweight,1,3,0,0,0,3.24,0.57,1.3,6.39,0.38,0,0,0,0,0,0,0,0,0,0,0,0.0,193.04,198.12,185,0,2,0,3.1,0.45,1.5,2.01,0.35,3,9,43,0,0,0,0,1,11,0,12,0.0,185.42,195.58,185,36,34,SUB,704.0,0.46,0.35,3.1,3.45,0.53,0.43,2.01,1.52,0.24,8.5,185.0,73.0,77.5,37.0,6.0,0.16,2.0,0.05,29.0,0.78,0.57,0.47,3.28,2.69,0.39,1.0,6.89,1.97,0.98,7.63,184.5,76.0,78.0,34.0,4.0,0.21,2.0,0.11,13.0,0.68
