index,name,strike_accuracy,takedown_accuracy,connected_strikes_per_minute,absorved_strikes_per_minute,strikes_defense,takedown_defense,takedown_avg,submission_avg,knockdown_avg,avg_fight_time,weight,height,reach,division,age,Wins,Losses,win_by_ko_tko_win,win_by_ko_tko_win_percent,win_by_dec_win,win_by_dec_win_percent,win_by_sub_win,win_by_sub_win_percent
930.0,Sheldon Westcott,0.41,0.38,2.26,3.73,0.37,0.14,3.23,0.0,0.0,9.3,170.0,73.0,71.0,Welterweight Division,38.0,10,-3,4.0,0.4,2.0,0.2,4.0,0.4
932.0,Robert Whittaker,0.43,0.38,4.54,3.41,0.6,0.81,0.8,0.0,0.55,13.12,185.5,72.0,73.5,Middleweight Division,34.0,27,-8,11.0,0.41,11.0,0.41,5.0,0.19
934.0,Khaos Williams,0.38,0.0,5.36,5.19,0.44,0.6,0.0,0.0,0.9,9.27,169.5,72.0,77.0,Welterweight Division,30.0,15,-4,8.0,0.57,5.0,0.36,1.0,0.07
936.0,Eddie Wineland,0.29,0.33,3.4,3.76,0.68,0.86,0.34,0.14,0.88,9.63,135.0,67.5,69.0,Bantamweight Division,38.0,24,-16,15.0,0.63,5.0,0.21,4.0,0.17
938.0,Joanne Wood,0.51,0.56,7.1,4.89,0.51,0.59,1.52,0.32,0.24,11.0,125.0,66.0,65.5,Women's Flyweight Division,38.0,17,-8,5.0,0.29,11.0,0.65,1.0,0.06
939.0,Nathaniel Wood,0.51,0.48,5.75,4.0,0.56,0.73,1.56,0.52,0.31,13.13,154.8,66.0,69.0,Featherweight Division,31.0,21,-6,8.0,0.4,7.0,0.35,5.0,0.25
940.0,Val Woodburn,0.36,1.0,1.6,4.93,0.36,0.5,1.92,0.0,0.96,7.82,169.5,68.0,74.0,Welterweight Division,30.0,7,-2,5.0,0.71,2.0,0.29,0.0,0.0
941.0,Sean Woodson,0.47,0.63,5.66,4.2,0.59,0.84,0.63,0.38,0.5,11.9,145.5,74.5,78.0,Featherweight Division,32.0,13,-1,4.0,0.31,8.0,0.62,1.0,0.08
942.0,Song Yadong,0.44,0.4,4.49,3.96,0.56,0.72,0.66,0.17,0.58,12.93,148.0,68.0,67.0,Bantamweight Division,27.0,21,-8,9.0,0.43,9.0,0.43,3.0,0.14
943.0,Rani Yahya,0.39,0.31,1.71,2.08,0.5,0.29,2.73,1.82,0.0,10.02,145.0,66.0,67.0,Bantamweight Division,39.0,28,-12,0.0,0.0,7.0,0.25,21.0,0.75
944.0,Mohammad Yahya,0.43,1.0,2.38,4.96,0.39,0.43,0.76,0.76,0.0,9.88,170.9,69.0,73.0,Lightweight Division,30.0,12,-5,7.0,0.54,4.0,0.31,2.0,0.15
945.0,Yan Xiaonan,0.45,0.73,4.99,3.44,0.6,0.63,0.92,0.0,0.17,15.03,116.0,65.0,63.0,Women's Strawweight Division,35.0,19,-4,8.0,0.42,10.0,0.53,1.0,0.05
946.0,Petr Yan,0.54,0.49,5.11,4.13,0.59,0.85,1.61,0.12,0.62,17.28,135.5,67.5,67.0,Bantamweight Division,32.0,18,-5,7.0,0.39,10.0,0.56,1.0,0.06
947.0,Adrian Yanez,0.42,0.0,6.23,5.75,0.55,0.82,0.0,0.0,1.54,6.8,136.0,67.0,70.0,Bantamweight Division,31.0,17,-6,11.0,0.65,4.0,0.24,2.0,0.12
948.0,Dongi Yang,0.51,0.41,3.55,3.21,0.64,0.62,1.7,0.49,0.49,12.32,186.0,71.0,71.0,Middleweight Division,38.0,12,-3,0.0,0.0,0.0,0.0,0.0,0.0
949.0,Ashley Yoder,0.39,0.28,3.42,4.13,0.47,0.67,1.09,0.55,0.09,15.0,116.0,67.0,69.5,Women's Strawweight Division,35.0,8,-9,0.0,0.0,4.0,0.5,4.0,0.5
951.0,Shane Young,0.41,0.19,5.19,5.46,0.53,0.64,0.63,0.0,0.21,10.27,145.5,68.0,72.5,Featherweight Division,30.0,13,-8,6.0,0.46,3.0,0.23,4.0,0.31
952.0,Aiemann Zahabi,0.46,0.14,4.06,4.06,0.71,0.83,0.16,0.0,0.49,11.38,135.5,68.0,68.5,Bantamweight Division,37.0,12,-2,6.0,0.5,4.0,0.33,2.0,0.17
953.0,Youssef Zalal,0.51,0.31,3.07,1.8,0.67,0.59,2.09,1.32,0.22,12.43,146.0,70.0,72.0,Featherweight Division,28.0,17,-5,4.0,0.24,4.0,0.24,9.0,0.53
956.0,Daniel Zellhuber,0.41,0.25,6.26,6.02,0.56,0.94,0.18,0.18,0.36,13.9,169.4,73.0,77.0,Lightweight Division,25.0,15,-2,7.0,0.47,5.0,0.33,3.0,0.2
958.0,Daria Zhelezniakova,0.38,1.0,3.29,1.7,0.8,0.5,0.8,0.0,0.0,9.43,139.2,69.0,68.0,Women's Bantamweight Division,28.0,9,-2,5.0,0.63,3.0,0.38,0.0,0.0
960.0,Farès Ziam,0.52,0.41,2.85,1.62,0.65,0.7,1.62,0.25,0.12,13.35,156.0,73.0,75.0,Lightweight Division,27.0,17,-4,6.0,0.35,7.0,0.41,4.0,0.24
,Ian Machado Garry,0.55,0.52,4.72,2.82,0.74,0.49,0.49,0.0,0.0,13.35,171.0,75.0,74.5,Welterweight,25.0,15,1,7.0,0.47,7.0,0.47,1.0,0.07
