index,name,strike_accuracy,takedown_accuracy,connected_strikes_per_minute,absorved_strikes_per_minute,strikes_defense,takedown_defense,takedown_avg,submission_avg,knockdown_avg,avg_fight_time,weight,height,reach,division,age,Wins,Losses,win_by_ko_tko_win,win_by_ko_tko_win_percent,win_by_dec_win,win_by_dec_win_percent,win_by_sub_win,win_by_sub_win_percent
815.0,Anthony Smith,0.49,0.24,3.2,4.88,0.45,0.5,0.44,0.61,0.39,9.85,205.5,76.0,76.0,Light Heavyweight Division,36.0,38,-21,19.0,0.5,4.0,0.11,15.0,0.39
817.0,Elijah Smith,0.42,0.53,3.83,3.87,0.48,0.67,4.0,1.0,0.0,15.0,135.5,69.0,71.0,Bantamweight Division,22.0,8,-1,4.0,0.8,0.0,0.0,1.0,0.2
821.0,Joe Solecki,0.54,0.48,1.97,1.85,0.51,0.14,2.06,1.37,0.0,10.93,155.0,69.0,70.5,Lightweight Division,31.0,13,-6,1.0,0.08,4.0,0.31,8.0,0.62
823.0,Benardo Sopaj,0.56,0.71,4.24,4.88,0.5,0.77,2.53,0.0,0.51,14.85,135.0,66.0,66.0,Bantamweight Division,24.0,12,-3,7.0,0.64,1.0,0.09,3.0,0.27
824.0,Punahele Soriano,0.54,0.56,5.0,3.88,0.48,0.38,1.47,0.0,0.98,9.15,171.0,71.0,72.5,Welterweight Division,32.0,11,-4,7.0,0.64,2.0,0.18,2.0,0.18
825.0,Mario Sousa,0.51,0.25,2.82,2.99,0.28,0.38,0.52,0.52,0.0,9.58,185.5,75.0,79.5,Middleweight Division,26.0,1,-2,0.0,0.0,0.0,0.0,0.0,0.0
826.0,Ketlen Souza,0.59,0.25,4.92,4.46,0.51,0.64,0.43,0.43,0.43,8.7,115.5,63.0,63.0,Women's Strawweight Division,30.0,15,-5,8.0,0.53,5.0,0.33,2.0,0.13
828.0,Ryan Spann,0.41,0.35,3.3,3.9,0.44,0.5,1.32,1.69,1.13,5.32,205.5,77.0,79.0,Heavyweight Division,33.0,22,-10,6.0,0.27,3.0,0.14,13.0,0.59
829.0,Felicia Spencer,0.49,0.19,3.21,4.54,0.45,0.27,1.18,0.2,0.0,12.73,145.5,66.0,68.0,Women's Featherweight Division,32.0,9,-3,2.0,0.25,2.0,0.25,4.0,0.5
830.0,Serghei Spivac,0.5,0.66,3.49,3.77,0.49,0.64,4.56,0.63,0.0,7.35,260.0,75.0,78.0,Heavyweight Division,29.0,17,-5,7.0,0.41,2.0,0.12,8.0,0.47
831.0,Daniel Spohn,0.49,0.0,2.42,1.6,0.54,0.29,0.0,2.48,0.0,9.08,206.0,76.0,78.0,Light Heavyweight Division,38.0,16,-5,7.0,0.44,5.0,0.31,4.0,0.25
832.0,Georges St-Pierre,0.54,0.74,3.78,1.4,0.73,0.84,4.16,1.1,0.37,13.15,184.4,70.5,76.0,Middleweight Division,42.0,26,-2,8.0,0.31,12.0,0.46,6.0,0.23
833.0,Cody Stamann,0.47,0.37,4.32,3.91,0.6,0.76,2.17,0.0,0.17,11.98,135.5,66.5,64.5,Bantamweight Division,35.0,21,-8,7.0,0.33,12.0,0.57,2.0,0.1
834.0,Kody Steele,0.33,0.14,4.44,7.17,0.52,1.0,0.62,0.0,0.62,12.07,156.0,69.0,71.0,Lightweight Division,29.0,7,-1,4.0,0.57,2.0,0.29,1.0,0.14
836.0,Aljamain Sterling,0.52,0.3,4.41,2.21,0.59,0.43,2.51,0.69,0.0,13.37,145.5,67.0,71.0,Featherweight Division,35.0,24,-5,3.0,0.13,13.0,0.54,8.0,0.33
837.0,Navajo Stirling,0.56,0.0,5.82,2.55,0.59,0.73,0.0,0.0,0.67,11.18,206.0,76.0,79.0,Light Heavyweight Division,27.0,6,0,4.0,0.67,2.0,0.33,0.0,0.0
839.0,Julija Stoliarenko,0.39,0.28,2.49,4.54,0.46,0.55,0.93,1.67,0.0,10.13,139.8,67.0,66.0,Women's Flyweight Division,30.0,11,-8,0.0,0.0,1.0,0.09,10.0,0.91
840.0,Dustin Stoltzfus,0.45,0.41,3.47,3.29,0.47,0.46,2.31,1.15,0.38,8.67,185.5,72.0,75.0,Middleweight Division,33.0,16,-6,3.0,0.19,7.0,0.44,6.0,0.38
841.0,Sam Stout,0.29,0.38,4.17,4.08,0.57,0.78,0.63,0.13,0.19,11.92,155.0,69.0,70.0,Lightweight Division,39.0,21,-12,0.0,0.0,0.0,0.0,0.0,0.0
842.0,Sean Strickland,0.43,0.64,5.95,4.57,0.61,0.76,0.73,0.16,0.24,16.05,185.0,73.0,76.0,Middleweight Division,33.0,29,-7,11.0,0.38,14.0,0.48,4.0,0.14
843.0,Stefan Struve,0.47,0.47,3.12,4.04,0.47,0.56,0.56,1.68,0.24,7.82,265.0,84.0,84.5,Heavyweight Division,35.0,33,-13,8.0,0.24,7.0,0.21,18.0,0.55
844.0,Tatiana Suarez,0.62,0.47,3.22,1.58,0.47,0.8,4.65,0.66,0.0,11.3,114.5,65.0,66.0,Women's Strawweight Division,34.0,11,-1,2.0,0.18,3.0,0.27,6.0,0.55
848.0,Cub Swanson,0.51,0.5,4.79,4.0,0.59,0.64,1.01,0.39,0.39,11.68,146.0,68.0,70.0,Featherweight Division,41.0,30,-14,14.0,0.47,12.0,0.4,4.0,0.13
850.0,Oumar Sy,0.59,0.4,4.81,1.71,0.74,1.0,3.21,0.8,0.0,9.37,215.7,76.0,83.0,Light Heavyweight Division,28.0,11,0,4.0,0.36,3.0,0.27,4.0,0.36
851.0,Klaudia Syguła,0.38,0.0,1.89,6.0,0.37,0.33,0.0,0.0,0.0,6.33,136.0,68.0,69.0,Women's Bantamweight Division,26.0,6,-2,2.0,0.33,3.0,0.5,1.0,0.17
854.0,Justin Tafa,0.54,0.0,4.05,5.11,0.47,0.53,0.0,0.0,1.1,5.45,266.0,72.0,74.0,Heavyweight Division,31.0,7,-5,7.0,1.0,0.0,0.0,0.0,0.0
856.0,Tatsuro Taira,0.6,0.44,2.99,2.69,0.47,0.45,2.73,1.64,0.36,11.8,125.5,67.0,70.0,Flyweight Division,25.0,16,-1,5.0,0.31,4.0,0.25,7.0,0.44
857.0,Payton Talbott,0.56,0.33,6.73,3.75,0.45,0.76,0.32,0.32,0.64,9.33,135.5,70.0,70.5,Bantamweight Division,26.0,9,-1,7.0,0.78,1.0,0.11,1.0,0.11
859.0,Miesha Tate,0.45,0.32,2.62,2.98,0.52,0.55,2.02,1.29,0.06,12.72,135.5,66.0,65.0,Women's Bantamweight Division,38.0,20,-9,4.0,0.2,8.0,0.4,8.0,0.4
860.0,Brad Tavares,0.43,0.27,3.43,3.31,0.55,0.81,0.74,0.0,0.19,12.9,185.0,73.0,74.0,Middleweight Division,37.0,20,-11,5.0,0.26,12.0,0.63,2.0,0.11
862.0,James Te Huna,0.51,0.38,4.04,2.99,0.63,0.59,2.75,0.25,0.5,6.0,205.0,74.0,75.0,Middleweight Division,41.0,18,-9,0.0,0.0,0.0,0.0,0.0,0.0
863.0,Glover Teixeira,0.5,0.34,3.73,4.43,0.51,0.6,2.11,0.94,0.33,10.33,205.0,74.0,76.0,Light Heavyweight Division,43.0,33,-9,18.0,0.55,5.0,0.15,10.0,0.3
867.0,David Teymur,0.43,0.33,4.69,3.53,0.55,0.78,0.94,0.0,0.71,10.63,156.0,69.0,73.0,Lightweight Division,34.0,8,-2,4.0,0.5,4.0,0.5,0.0,0.0
869.0,Colby Thicknesse,0.3,0.0,2.53,2.73,0.48,0.5,0.0,0.0,0.0,15.0,135.5,67.0,69.0,Bantamweight Division,25.0,7,-1,2.0,0.29,3.0,0.43,2.0,0.29
870.0,Stephen Thompson,0.46,0.42,4.11,3.02,0.55,0.63,0.25,0.0,0.49,14.5,171.0,72.0,75.0,Welterweight Division,42.0,17,-8,8.0,0.47,8.0,0.47,1.0,0.06
871.0,Denis Tiuliulin,0.41,0.43,3.61,5.23,0.38,0.72,0.96,0.0,0.64,7.83,191.5,73.0,77.0,Middleweight Division,36.0,11,-10,9.0,0.9,1.0,0.1,0.0,0.0
872.0,Duško Todorović,0.58,0.13,5.35,4.8,0.47,0.45,0.92,0.0,0.0,7.25,185.5,73.0,74.0,Middleweight Division,30.0,12,-5,8.0,0.67,1.0,0.08,3.0,0.25
873.0,Tuco Tokkos,0.39,0.4,2.51,4.99,0.48,0.33,2.65,0.0,0.0,7.55,206.0,76.0,76.0,Light Heavyweight Division,34.0,10,-5,6.0,0.6,2.0,0.2,2.0,0.2
874.0,Aleksandre Topuria,0.52,0.5,2.73,2.53,0.7,1.0,1.0,0.0,0.0,15.0,135.5,67.0,68.0,Bantamweight Division,29.0,6,-1,3.0,0.6,0.0,0.0,2.0,0.4
875.0,Ilia Topuria,0.47,0.61,4.69,3.84,0.64,0.93,2.02,1.1,1.1,10.23,145.0,67.0,69.0,Featherweight Division,28.0,16,0,6.0,0.38,2.0,0.13,8.0,0.5
876.0,Manuel Torres,0.56,0.67,7.17,4.53,0.52,0.89,2.26,1.13,3.4,2.65,169.0,70.0,73.5,Lightweight Division,29.0,15,-3,7.0,0.47,1.0,0.07,7.0,0.47
877.0,Antonio Trocoli,0.5,0.11,1.29,5.79,0.24,0.5,0.84,0.84,0.0,5.93,186.0,77.0,80.0,Middleweight Division,34.0,12,-5,3.0,0.25,4.0,0.33,5.0,0.42
878.0,Arman Tsarukyan,0.49,0.37,3.79,1.84,0.54,0.75,3.25,0.0,0.32,12.6,170.0,67.0,72.5,Lightweight Division,28.0,22,-3,9.0,0.41,8.0,0.36,5.0,0.23
879.0,Rei Tsuruya,0.61,0.5,2.28,1.31,0.47,0.5,5.45,2.54,0.0,10.33,133.0,66.0,68.0,Flyweight Division,22.0,10,0,4.0,0.44,1.0,0.11,4.0,0.44
880.0,Gavin Tucker,0.45,0.44,4.29,4.18,0.57,0.54,3.13,1.46,0.0,10.28,156.0,66.5,66.0,Featherweight Division,37.0,13,-3,4.0,0.31,3.0,0.23,6.0,0.46
881.0,Tai Tuivasa,0.47,0.0,3.77,5.18,0.44,0.58,0.0,0.0,1.04,7.23,265.0,74.0,75.0,Heavyweight Division,31.0,15,-8,14.0,0.93,1.0,0.07,0.0,0.0
883.0,Nyamjargal Tumendemberel,0.39,0.31,3.13,3.29,0.52,0.52,2.42,2.42,0.97,10.35,125.0,67.0,71.0,Flyweight Division,26.0,8,-1,2.0,0.25,1.0,0.13,5.0,0.63
884.0,Anton Turkalj,0.43,0.41,2.45,3.42,0.54,0.17,4.98,0.0,0.0,9.63,220.5,76.0,78.0,Light Heavyweight Division,27.0,8,-4,5.0,0.63,1.0,0.13,2.0,0.25
